作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	7	8
2	0	3	3	7	3
3	0	6	6	5	4
4	0	0	0	6	3
5	0	0	0	6	2
6	3	6	9	5	5
7	6	4	10	10	2
8	6	7	13	6	3
9	9	3	12	7	5
10	13	2	15	10	8
11	13	10	23	9	2
12	13	9	22	8	2
13	22	9	31	8	4
14	23	4	27	9	5
15	23	3	26	10	4
16	23	9	32	9	8
17	26	1	27	8	8
18	26	7	33	8	5
19	27	10	37	5	3
20	31	2	33	6	4
21	31	6	37	6	2
22	32	1	33	9	4
23	33	6	39	9	7
24	37	5	42	10	7
25	37	10	47	10	7
26	37	4	41	10	6
27	39	6	45	7	1
28	47	2	49	5	2
29	47	8	55	9	2
30	47	10	57	10	7
