作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	2	2	8	4
2	0	10	10	9	8
3	0	0	0	8	4
4	0	0	0	9	3
5	2	8	10	6	1
6	10	5	15	9	2
7	10	8	18	7	8
8	15	9	24	5	1
9	15	8	23	5	6
10	18	1	19	8	6
11	19	2	21	8	6
12	23	9	32	5	6
13	24	5	29	8	1
14	29	1	30	9	7
15	30	10	40	10	5
16	32	1	33	9	2
17	33	6	39	9	1
18	40	10	50	5	1
19	40	2	42	9	3
20	42	7	49	9	8
21	49	9	58	9	2
22	50	9	59	10	7
23	50	9	59	9	8
24	59	8	67	6	2
25	59	3	62	6	2
26	62	4	66	8	5
27	67	2	69	6	8
28	69	6	75	9	7
29	75	3	78	10	1
30	78	3	81	9	7
