作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	5	5
2	0	1	1	8	8
3	0	7	7	5	6
4	0	0	0	9	6
5	0	0	0	5	3
6	7	10	17	5	4
7	7	5	12	7	3
8	10	5	15	6	3
9	12	5	17	9	5
10	12	7	19	9	3
11	15	10	25	9	4
12	15	1	16	7	1
13	17	4	21	6	7
14	19	6	25	6	8
15	21	7	28	6	1
16	21	8	29	5	8
17	21	7	28	6	2
18	25	2	27	10	7
19	25	4	29	8	5
20	27	7	34	5	4
21	28	10	38	9	4
22	29	2	31	6	8
23	29	10	39	6	8
24	34	5	39	5	4
25	38	6	44	8	3
26	38	2	40	5	2
27	39	1	40	5	4
28	40	1	41	9	7
29	40	9	49	8	1
30	44	3	47	7	7
