作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	6	7
2	0	10	10	10	5
3	0	0	0	9	4
4	0	0	0	5	8
5	9	1	10	9	6
6	10	1	11	5	4
7	10	3	13	9	4
8	10	1	11	6	2
9	11	2	13	5	5
10	11	6	17	6	2
11	11	10	21	10	5
12	13	4	17	9	8
13	13	4	17	10	1
14	13	3	16	9	1
15	13	3	16	8	3
16	16	3	19	6	4
17	16	7	23	6	5
18	17	1	18	6	1
19	18	1	19	8	7
20	21	2	23	7	8
21	23	4	27	10	4
22	23	1	24	6	1
23	23	4	27	6	1
24	24	10	34	9	7
25	27	2	29	7	7
26	34	2	36	9	4
27	34	3	37	8	2
28	37	6	43	9	3
29	43	1	44	10	3
30	43	9	52	7	6
