作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	9	8
2	0	10	10	9	8
3	0	9	9	6	5
4	0	0	0	7	7
5	0	0	0	7	7
6	9	3	12	5	3
7	9	9	18	10	6
8	9	4	13	8	1
9	10	7	17	8	6
10	12	6	18	10	3
11	12	2	14	10	7
12	14	1	15	10	2
13	15	10	25	5	2
14	17	4	21	5	2
15	18	1	19	7	3
16	19	4	23	5	2
17	21	7	28	5	4
18	21	4	25	6	7
19	23	9	32	10	1
20	25	9	34	9	5
21	25	8	33	7	4
22	33	3	36	10	7
23	34	8	42	8	1
24	36	8	44	8	7
25	36	7	43	10	8
26	43	6	49	5	4
27	44	1	45	10	7
28	49	4	53	5	2
29	49	10	59	10	4
30	59	7	66	7	4
