作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	5	2
2	0	4	4	8	4
3	0	0	0	8	4
4	0	0	0	10	5
5	4	8	12	8	8
6	4	10	14	8	2
7	4	2	6	10	7
8	6	6	12	6	1
9	7	10	17	7	3
10	7	5	12	8	5
11	12	9	21	6	7
12	12	9	21	8	2
13	12	1	13	5	5
14	12	2	14	10	2
15	12	4	16	5	6
16	13	6	19	6	4
17	14	3	17	9	5
18	17	10	27	8	5
19	17	5	22	6	1
20	21	8	29	5	4
21	22	7	29	6	8
22	22	10	32	6	7
23	29	8	37	8	8
24	29	6	35	10	3
25	29	2	31	5	2
26	32	1	33	8	5
27	32	1	33	7	2
28	33	10	43	10	1
29	35	4	39	10	8
30	37	1	38	7	2
