作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	9	8
2	0	7	7	6	2
3	0	9	9	6	5
4	0	0	0	7	5
5	0	0	0	6	7
6	7	9	16	6	8
7	7	5	12	6	8
8	9	3	12	8	7
9	12	7	19	7	2
10	12	7	19	8	7
11	12	8	20	10	4
12	16	10	26	10	3
13	16	6	22	7	8
14	19	6	25	7	5
15	19	10	29	5	3
16	20	9	29	10	3
17	22	1	23	5	7
18	25	10	35	10	2
19	26	5	31	6	8
20	29	3	32	9	4
21	29	6	35	8	3
22	31	10	41	10	8
23	32	7	39	6	2
24	35	8	43	8	7
25	35	7	42	6	5
26	42	4	46	8	2
27	42	4	46	5	4
28	43	3	46	5	5
29	46	10	56	6	4
30	46	2	48	6	3
