作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	9	5
2	0	1	1	10	4
3	0	0	0	7	5
4	0	0	0	7	3
5	1	9	10	5	2
6	1	7	8	5	7
7	8	9	17	8	6
8	10	2	12	10	5
9	10	3	13	8	5
10	13	10	23	8	1
11	13	8	21	8	1
12	17	9	26	9	6
13	21	5	26	10	2
14	23	8	31	6	2
15	26	3	29	5	7
16	26	8	34	5	6
17	29	6	35	8	6
18	29	6	35	6	4
19	31	3	34	5	8
20	34	6	40	9	3
21	35	8	43	6	6
22	40	1	41	7	6
23	41	2	43	10	5
24	43	3	46	8	8
25	43	5	48	9	8
26	46	2	48	7	4
27	46	6	52	10	6
28	48	1	49	10	7
29	48	5	53	9	1
30	52	6	58	9	7
