作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	3	3	10	4
2	0	7	7	5	8
3	0	8	8	7	3
4	0	0	0	8	8
5	0	0	0	10	4
6	3	10	13	7	3
7	7	6	13	5	2
8	7	1	8	9	7
9	13	5	18	8	5
10	13	5	18	6	6
11	18	1	19	10	2
12	18	10	28	7	8
13	18	10	28	10	6
14	28	9	37	5	3
15	28	8	36	5	8
16	36	7	43	8	7
17	36	9	45	6	6
18	36	5	41	7	3
19	36	9	45	5	1
20	41	8	49	9	2
21	45	6	51	6	7
22	45	7	52	8	7
23	45	7	52	9	1
24	51	1	52	6	1
25	52	1	53	8	3
26	52	9	61	10	3
27	53	2	55	9	6
28	61	10	71	8	7
29	71	7	78	8	1
30	78	3	81	7	4
