作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	5	8
2	0	10	10	5	7
3	0	0	0	5	5
4	0	0	0	6	7
5	6	10	16	6	6
6	10	5	15	6	8
7	15	9	24	8	5
8	15	10	25	9	4
9	15	4	19	6	7
10	16	9	25	5	6
11	16	6	22	10	8
12	19	9	28	5	5
13	19	8	27	8	8
14	22	5	27	9	6
15	25	5	30	6	1
16	25	4	29	5	2
17	27	9	36	6	7
18	28	7	35	7	7
19	29	6	35	10	4
20	35	4	39	9	6
21	35	4	39	8	4
22	36	5	41	6	4
23	41	5	46	6	5
24	41	9	50	6	2
25	46	8	54	8	1
26	50	7	57	5	5
27	50	5	55	9	1
28	55	2	57	5	6
29	57	7	64	9	5
30	57	9	66	10	2
