作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	10	1
2	0	7	7	6	6
3	0	0	0	7	6
4	0	0	0	9	6
5	7	1	8	5	5
6	7	3	10	7	3
7	10	9	19	7	8
8	10	4	14	7	6
9	14	9	23	8	3
10	14	8	22	10	3
11	14	1	15	6	7
12	15	5	20	7	1
13	15	10	25	8	4
14	20	5	25	7	2
15	20	10	30	9	6
16	22	3	25	8	7
17	25	3	28	9	3
18	25	10	35	7	3
19	25	3	28	9	5
20	28	4	32	6	3
21	30	7	37	5	2
22	30	3	33	8	8
23	30	6	36	10	6
24	35	10	45	10	8
25	36	1	37	7	4
26	36	3	39	9	4
27	36	4	40	9	8
28	39	10	49	9	7
29	39	5	44	6	8
30	44	2	46	5	7
