作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	4	4	10	8
2	0	1	1	9	3
3	0	7	7	8	7
4	0	0	0	8	8
5	0	0	0	7	3
6	4	6	10	6	3
7	7	2	9	6	2
8	9	10	19	6	6
9	10	6	16	6	3
10	10	10	20	7	2
11	10	10	20	5	6
12	16	10	26	9	8
13	16	10	26	7	6
14	20	9	29	5	2
15	20	1	21	7	6
16	20	7	27	9	2
17	21	6	27	6	8
18	27	10	37	7	4
19	27	7	34	6	6
20	29	10	39	8	4
21	29	9	38	7	1
22	37	10	47	8	5
23	37	1	38	9	6
24	37	9	46	10	5
25	38	8	46	9	6
26	46	5	51	7	2
27	46	5	51	10	7
28	47	8	55	10	2
29	47	6	53	8	8
30	51	1	52	7	1
