作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	2	2	8	1
2	0	5	5	7	5
3	0	10	10	10	3
4	0	0	0	9	5
5	0	0	0	5	7
6	5	8	13	6	6
7	5	3	8	10	1
8	5	4	9	6	8
9	10	10	20	7	5
10	10	10	20	8	5
11	10	2	12	5	5
12	12	10	22	10	3
13	12	4	16	8	4
14	20	8	28	9	6
15	20	4	24	8	1
16	20	6	26	9	2
17	20	6	26	8	8
18	22	3	25	9	1
19	24	9	33	9	6
20	24	6	30	5	8
21	26	9	35	7	4
22	30	7	37	6	2
23	30	3	33	10	8
24	33	2	35	8	8
25	33	7	40	10	1
26	35	3	38	9	8
27	35	1	36	9	4
28	36	5	41	5	4
29	40	8	48	9	2
30	41	6	47	9	8
