作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	9	9	8	5
2	0	4	4	6	5
3	0	6	6	10	8
4	0	0	0	7	6
5	0	0	0	5	8
6	4	7	11	9	3
7	4	10	14	8	2
8	9	6	15	6	7
9	9	10	19	7	7
10	9	5	14	8	3
11	11	10	21	9	4
12	14	10	24	7	5
13	14	1	15	10	1
14	14	7	21	9	6
15	14	1	15	6	4
16	15	4	19	10	4
17	15	9	24	6	5
18	19	6	25	9	2
19	19	2	21	8	1
20	19	1	20	9	4
21	20	6	26	9	7
22	21	7	28	8	8
23	24	5	29	10	1
24	24	2	26	8	4
25	25	8	33	7	5
26	25	10	35	7	1
27	28	4	32	5	4
28	29	4	33	10	3
29	32	4	36	5	8
30	33	10	43	5	1
