作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	6	8
2	0	8	8	6	5
3	0	10	10	8	6
4	0	0	0	10	6
5	0	0	0	10	5
6	6	3	9	6	7
7	10	5	15	6	7
8	10	4	14	5	7
9	14	7	21	7	8
10	14	10	24	10	7
11	15	10	25	7	4
12	21	10	31	6	5
13	24	8	32	5	6
14	25	6	31	5	1
15	25	6	31	10	8
16	31	9	40	8	4
17	32	4	36	8	8
18	36	10	46	6	7
19	40	10	50	5	8
20	40	7	47	5	1
21	40	7	47	9	7
22	46	9	55	9	4
23	47	10	57	10	7
24	47	5	52	5	4
25	52	3	55	8	2
26	52	2	54	6	5
27	55	10	65	10	8
28	55	4	59	7	8
29	57	3	60	6	6
30	59	4	63	8	6
