作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	4	4	7	1
2	0	10	10	7	4
3	0	0	0	5	7
4	0	0	0	9	4
5	4	2	6	6	3
6	4	5	9	10	2
7	9	8	17	6	4
8	10	9	19	8	4
9	17	2	19	9	4
10	19	1	20	10	4
11	20	6	26	10	3
12	20	6	26	9	4
13	26	2	28	7	1
14	26	5	31	10	8
15	28	4	32	10	7
16	31	5	36	7	8
17	32	7	39	9	5
18	36	7	43	5	5
19	39	2	41	5	1
20	39	5	44	6	3
21	44	9	53	7	2
22	44	10	54	6	7
23	54	9	63	8	3
24	54	4	58	6	7
25	58	4	62	8	1
26	62	10	72	8	8
27	63	7	70	5	2
28	63	9	72	5	5
29	72	1	73	9	8
30	73	4	77	7	4
