作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	10	6
2	0	1	1	6	2
3	0	0	0	9	5
4	0	0	0	8	6
5	1	10	11	6	7
6	5	6	11	6	7
7	11	6	17	10	2
8	11	4	15	8	1
9	15	1	16	5	4
10	16	2	18	10	3
11	17	6	23	5	4
12	18	7	25	9	1
13	25	1	26	5	1
14	25	10	35	5	1
15	26	5	31	5	8
16	35	10	45	7	1
17	35	9	44	5	7
18	44	9	53	10	2
19	45	8	53	9	6
20	53	2	55	8	6
21	53	8	61	10	1
22	55	4	59	10	3
23	61	2	63	10	1
24	61	2	63	7	8
25	63	3	66	7	6
26	63	10	73	7	5
27	66	10	76	7	2
28	73	1	74	8	6
29	74	7	81	7	8
30	76	3	79	7	1
