作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	5	8
2	0	0	0	8	8
3	0	0	0	6	5
4	10	5	15	6	5
5	10	7	17	5	6
6	10	4	14	7	5
7	14	8	22	5	8
8	14	7	21	9	2
9	17	6	23	5	3
10	21	8	29	9	2
11	23	9	32	9	4
12	23	8	31	10	6
13	31	5	36	10	5
14	32	5	37	6	1
15	32	5	37	5	8
16	37	9	46	10	3
17	37	1	38	6	2
18	38	4	42	10	1
19	42	4	46	6	3
20	42	10	52	9	6
21	46	2	48	8	3
22	52	6	58	6	5
23	52	3	55	5	7
24	58	4	62	6	1
25	58	3	61	5	6
26	61	7	68	7	3
27	62	4	66	10	6
28	68	9	77	6	1
29	77	5	82	5	4
30	77	8	85	8	8
