作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	8	4
2	0	7	7	5	3
3	0	7	7	10	5
4	0	0	0	8	7
5	0	0	0	9	6
6	7	3	10	9	2
7	7	7	14	8	3
8	7	7	14	6	3
9	10	4	14	8	8
10	10	7	17	7	4
11	14	2	16	7	4
12	14	3	17	7	7
13	16	10	26	10	6
14	16	1	17	7	3
15	17	5	22	6	1
16	17	1	18	9	6
17	17	6	23	10	5
18	18	4	22	10	2
19	22	4	26	6	3
20	23	6	29	6	8
21	26	5	31	8	3
22	26	1	27	7	4
23	29	7	36	10	8
24	31	9	40	10	5
25	36	6	42	8	8
26	36	5	41	9	5
27	40	10	50	8	6
28	41	5	46	5	2
29	42	6	48	10	6
30	46	7	53	8	3
