作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	4	10
2	0	7	7	3	1
3	1	6	7	3	9
4	1	7	8	3	7
5	1	7	8	3	9
6	1	7	8	6	3
7	1	10	11	9	7
8	1	2	3	7	1
9	1	6	7	8	9
10	1	8	9	4	8
11	2	8	10	9	2
12	2	8	10	10	10
13	3	2	5	9	1
14	3	7	10	9	1
15	4	4	8	7	5
16	4	9	13	5	2
17	5	5	10	4	6
18	5	6	11	3	2
19	5	3	8	10	10
20	6	10	16	9	6
21	6	4	10	9	1
22	6	1	7	10	2
23	7	6	13	7	4
24	9	5	14	6	4
25	9	9	18	4	1
26	10	4	14	1	7
27	10	6	16	4	1
28	10	8	18	3	5
29	10	4	14	5	7
30	10	2	12	2	4
31	12	10	22	8	5
32	14	4	18	9	4
33	15	2	17	4	2
34	16	10	26	2	5
35	18	10	28	8	1
36	18	1	19	1	3
37	18	6	24	7	7
38	19	3	22	10	1
39	19	5	24	4	10
40	19	2	21	5	2
41	20	2	22	10	3
42	20	8	28	1	4
43	20	3	23	3	9
44	20	6	26	4	9
45	21	1	22	7	7
46	21	3	24	3	1
47	22	2	24	9	9
48	22	8	30	10	10
49	22	6	28	4	7
50	23	8	31	9	9
51	23	10	33	3	8
52	24	2	26	3	4
53	24	9	33	8	6
54	25	9	34	10	10
55	26	4	30	7	5
56	27	8	35	10	4
57	27	8	35	7	1
58	27	2	29	5	6
59	27	10	37	10	6
60	27	5	32	7	2
61	28	8	36	4	1
62	29	10	39	3	2
63	29	3	32	6	1
64	29	3	32	7	5
65	29	10	39	2	7
66	30	8	38	5	7
67	30	9	39	6	6
68	30	9	39	10	5
69	31	8	39	6	7
70	32	1	33	7	4
71	32	9	41	2	7
72	32	2	34	3	6
73	32	10	42	8	8
74	35	5	40	4	9
75	36	4	40	8	7
76	36	7	43	9	8
77	36	2	38	1	6
78	36	2	38	8	7
79	36	3	39	2	8
80	37	6	43	8	3
81	39	5	44	7	4
82	39	2	41	8	4
83	39	3	42	2	9
84	40	5	45	8	6
85	40	8	48	6	3
86	41	8	49	10	5
87	41	1	42	7	8
88	42	4	46	8	4
89	42	2	44	6	9
90	43	7	50	10	1
91	43	3	46	8	6
92	43	4	47	4	10
93	43	10	53	9	8
94	44	5	49	3	7
95	44	1	45	4	1
96	44	4	48	9	3
97	45	9	54	1	9
98	45	2	47	1	7
99	46	4	50	5	5
100	47	6	53	5	9
101	47	1	48	6	1
102	48	8	56	5	4
103	49	6	55	9	1
104	50	10	60	3	10
105	50	1	51	10	3
106	50	10	60	7	3
107	50	6	56	7	3
108	51	10	61	10	6
109	51	6	57	9	6
110	52	1	53	6	7
111	52	1	53	10	6
112	52	2	54	2	2
113	53	10	63	3	5
114	53	5	58	7	5
115	53	1	54	7	10
116	53	1	54	9	1
117	54	4	58	3	5
118	54	8	62	1	2
119	58	6	64	5	7
120	59	10	69	10	10
