作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	6	6	1	7
2	1	1	2	2	4
3	1	5	6	4	8
4	1	1	2	1	5
5	2	5	7	4	9
6	3	5	8	3	1
7	3	1	4	4	9
8	4	4	8	1	6
9	4	8	12	4	5
10	5	4	9	3	4
11	6	6	12	5	7
12	6	8	14	3	3
13	6	10	16	2	4
14	6	8	14	2	2
15	7	8	15	1	3
16	8	7	15	1	1
17	8	8	16	1	6
18	9	4	13	5	8
19	9	9	18	1	5
20	10	3	13	2	7
21	11	6	17	4	6
22	11	9	20	4	6
23	11	8	19	3	10
24	12	3	15	2	5
25	12	4	16	4	2
26	13	3	16	5	3
27	13	3	16	4	10
28	13	8	21	5	3
29	14	3	17	3	5
30	14	9	23	3	7
31	15	7	22	2	7
32	16	8	24	1	3
33	16	9	25	3	9
34	17	5	22	4	2
35	18	1	19	2	7
36	18	9	27	3	1
37	18	1	19	2	6
38	19	9	28	1	7
39	19	6	25	1	8
40	19	10	29	5	4
41	19	2	21	5	5
42	20	8	28	1	3
43	21	9	30	5	7
44	22	1	23	3	3
45	22	5	27	5	1
46	22	5	27	2	3
47	22	9	31	5	7
48	22	9	31	3	8
49	23	4	27	5	4
50	23	1	24	4	6
51	23	8	31	5	9
52	23	8	31	5	6
53	24	2	26	3	8
54	24	1	25	5	9
55	24	4	28	1	4
56	24	5	29	4	1
57	24	4	28	5	2
58	24	3	27	3	2
59	25	2	27	2	6
60	26	7	33	1	6
61	26	9	35	3	4
62	26	9	35	2	10
63	27	4	31	4	8
64	28	7	35	5	2
65	28	9	37	4	3
66	28	2	30	4	3
67	29	3	32	4	1
68	30	2	32	4	9
69	30	5	35	1	7
70	31	9	40	1	9
71	32	1	33	2	4
72	32	7	39	5	3
73	32	6	38	4	6
74	33	5	38	1	4
75	33	5	38	2	10
76	33	8	41	3	6
77	33	10	43	2	4
78	33	5	38	1	8
79	34	3	37	1	4
80	35	4	39	2	1
81	35	9	44	4	4
82	35	5	40	4	10
83	35	8	43	2	7
84	36	5	41	4	6
85	37	7	44	2	7
86	37	2	39	5	8
87	38	3	41	1	8
88	38	7	45	5	2
89	39	10	49	2	2
90	39	7	46	1	6
91	40	4	44	4	2
92	40	10	50	3	5
93	40	10	50	4	3
94	41	4	45	4	1
95	41	8	49	3	4
96	41	5	46	2	4
97	42	10	52	2	10
98	42	7	49	2	1
99	42	8	50	1	4
100	42	5	47	2	2
101	43	10	53	3	4
102	44	3	47	1	9
103	44	6	50	4	9
104	44	2	46	5	7
105	45	4	49	4	3
106	45	9	54	4	8
107	46	1	47	4	2
108	46	5	51	4	2
109	46	7	53	2	5
110	46	10	56	3	5
111	48	2	50	1	1
112	48	5	53	5	3
113	49	9	58	5	8
114	49	1	50	4	3
115	49	8	57	5	10
116	49	7	56	2	6
117	50	7	57	2	2
118	50	6	56	2	1
119	52	3	55	5	1
120	52	8	60	3	5
