作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	10	10	11	9
2	0	4	4	12	8
3	0	2	2	11	7
4	1	2	3	5	9
5	2	10	12	6	2
6	2	3	5	7	9
7	2	6	8	10	4
8	3	3	6	6	4
9	4	7	11	5	2
10	5	4	9	6	3
11	5	5	10	11	2
12	5	6	11	6	5
13	5	4	9	9	8
14	5	3	8	10	8
15	6	8	14	3	6
16	7	7	14	15	8
17	7	5	12	3	6
18	8	4	12	10	10
19	8	5	13	9	2
20	8	6	14	15	8
21	9	5	14	10	10
22	9	4	13	14	4
23	10	1	11	6	4
24	10	5	15	14	9
25	12	10	22	1	1
26	13	4	17	15	5
27	13	2	15	1	10
28	14	5	19	12	8
29	15	3	18	15	5
30	16	9	25	9	6
31	17	9	26	1	7
32	17	1	18	5	3
33	18	4	22	14	4
34	18	1	19	14	1
35	18	4	22	6	1
36	19	9	28	5	4
37	19	2	21	13	4
38	20	8	28	4	7
39	22	7	29	10	6
40	23	2	25	11	5
41	24	2	26	15	1
42	24	3	27	15	2
43	25	4	29	10	10
44	25	6	31	2	4
45	25	2	27	11	4
46	26	9	35	13	10
47	26	3	29	4	1
48	29	3	32	15	5
49	30	5	35	7	3
50	33	9	42	9	2
51	37	8	45	7	9
52	37	2	39	12	3
53	37	5	42	14	8
54	37	10	47	4	1
55	38	2	40	15	3
56	39	7	46	15	4
57	40	1	41	5	2
58	40	1	41	15	3
59	40	8	48	4	6
60	40	5	45	8	4
61	42	5	47	10	6
62	42	3	45	1	5
63	44	1	45	2	3
64	44	5	49	6	7
65	44	8	52	7	4
66	45	9	54	10	9
67	45	7	52	10	9
68	45	10	55	13	3
69	45	9	54	15	4
70	45	1	46	10	7
71	45	3	48	15	6
72	47	2	49	2	10
73	47	2	49	11	8
74	48	1	49	13	1
75	48	10	58	10	5
76	48	8	56	14	7
77	49	1	50	13	10
78	49	5	54	2	1
79	50	8	58	2	4
80	50	10	60	12	10
81	51	3	54	5	8
82	51	4	55	13	3
83	51	5	56	3	3
84	52	4	56	15	8
85	53	5	58	11	10
86	53	9	62	7	3
87	53	4	57	8	7
88	53	3	56	11	1
89	54	4	58	9	4
90	54	8	62	7	10
91	55	5	60	10	1
92	56	6	62	14	7
93	56	6	62	8	4
94	57	9	66	15	1
95	57	8	65	7	1
96	57	2	59	7	9
97	57	1	58	1	5
98	58	8	66	5	4
99	59	5	64	2	4
100	61	4	65	7	8
101	61	3	64	6	3
102	61	1	62	1	1
103	62	7	69	7	8
104	62	8	70	14	9
105	63	8	71	15	10
106	64	3	67	5	4
107	64	10	74	2	7
108	65	2	67	8	1
109	66	3	69	12	3
110	67	3	70	8	7
111	67	1	68	9	9
112	67	7	74	1	10
113	68	3	71	10	3
114	70	8	78	9	4
115	70	6	76	14	2
116	71	2	73	10	8
117	72	8	80	6	5
118	73	6	79	8	6
119	74	5	79	6	10
120	74	4	78	14	5
