作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	9	9	5	2
2	0	7	7	8	2
3	1	7	8	5	7
4	7	7	14	6	7
5	7	10	17	9	7
6	9	6	15	7	8
7	9	4	13	8	4
8	9	10	19	7	1
9	10	10	20	7	2
10	13	6	19	5	4
11	14	8	22	9	4
12	17	5	22	9	2
13	17	5	22	8	3
14	19	2	21	8	6
15	19	5	24	8	4
16	21	8	29	8	8
17	22	1	23	8	5
18	22	10	32	7	7
19	22	1	23	10	8
20	23	7	30	6	6
21	23	9	32	5	3
22	23	4	27	10	2
23	24	3	27	10	7
24	24	4	28	8	5
25	24	7	31	5	1
26	27	1	28	10	7
27	29	9	38	6	4
28	29	9	38	5	6
29	30	2	32	7	3
30	31	10	41	8	7
31	32	6	38	6	6
32	32	6	38	6	2
33	32	10	42	5	5
34	32	3	35	7	1
35	38	8	46	5	5
36	38	4	42	5	5
37	38	4	42	5	4
38	39	6	45	6	5
39	39	1	40	8	6
40	41	9	50	7	6
41	41	2	43	9	1
42	42	6	48	8	4
43	45	9	54	8	7
44	46	2	48	8	1
45	46	4	50	7	6
46	48	10	58	7	5
47	48	4	52	6	4
48	49	10	59	7	5
49	50	2	52	5	6
50	50	8	58	5	3
51	50	2	52	7	5
52	52	2	54	7	5
53	54	5	59	5	3
54	54	4	58	9	7
55	58	9	67	6	5
56	58	5	63	5	6
57	58	10	68	10	8
58	58	5	63	5	2
59	59	6	65	5	7
60	59	4	63	9	3
61	63	1	64	10	3
62	63	6	69	8	3
63	63	6	69	6	5
64	67	4	71	6	5
65	67	5	72	5	6
66	69	2	71	8	7
67	69	4	73	8	1
68	70	1	71	6	2
69	71	3	74	8	1
70	71	8	79	7	2
71	71	7	78	5	8
72	72	9	81	10	8
73	73	5	78	8	6
74	74	9	83	8	4
75	78	4	82	7	3
76	81	9	90	7	2
77	81	3	84	5	6
78	83	5	88	7	2
79	83	9	92	10	2
80	83	2	85	6	4
81	84	7	91	5	2
82	85	7	92	9	4
83	88	8	96	5	3
84	91	5	96	5	8
85	91	9	100	9	7
86	92	9	101	8	1
87	96	8	104	7	4
88	96	8	104	6	1
89	100	2	102	7	6
90	102	4	106	9	5
91	102	3	105	10	7
92	102	9	111	5	7
93	104	8	112	7	3
94	104	9	113	9	7
95	105	4	109	9	8
96	106	10	116	6	4
97	111	10	121	9	8
98	112	2	114	5	7
99	116	9	125	6	3
100	121	3	124	10	2
101	121	3	124	8	6
102	122	10	132	8	6
103	124	10	134	9	3
104	124	2	126	9	5
105	126	6	132	7	3
106	132	6	138	9	3
107	132	6	138	7	7
108	133	1	134	7	3
109	134	10	144	5	7
110	134	10	144	5	6
111	138	8	146	8	3
112	138	6	144	6	7
113	144	8	152	7	2
114	144	9	153	7	4
115	146	3	149	7	4
116	149	7	156	9	1
117	152	4	156	9	5
118	153	3	156	10	3
119	156	9	165	6	4
120	165	8	173	5	1
