作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	5	5	5	6
2	0	10	10	8	3
3	1	5	6	7	4
4	5	6	11	7	6
5	5	9	14	10	1
6	6	10	16	5	8
7	6	8	14	8	2
8	7	4	11	9	3
9	10	4	14	10	5
10	10	4	14	9	5
11	10	2	12	10	3
12	11	10	21	9	1
13	11	4	15	8	2
14	11	6	17	8	7
15	12	1	13	10	8
16	13	5	18	9	4
17	14	4	18	7	1
18	14	1	15	6	3
19	14	9	23	5	2
20	15	6	21	5	2
21	15	4	19	7	6
22	16	4	20	7	8
23	16	4	20	6	8
24	17	4	21	8	2
25	17	1	18	8	1
26	18	4	22	10	1
27	18	7	25	9	1
28	19	2	21	7	7
29	20	6	26	10	6
30	20	6	26	9	2
31	21	5	26	9	5
32	21	5	26	10	1
33	21	8	29	7	5
34	21	8	29	7	5
35	22	3	25	5	4
36	22	3	25	7	6
37	23	7	30	7	5
38	23	4	27	5	3
39	25	8	33	9	7
40	25	10	35	9	6
41	25	3	28	8	4
42	25	2	27	6	7
43	26	6	32	5	6
44	26	4	30	9	4
45	26	9	35	8	4
46	27	8	35	7	4
47	27	6	33	7	8
48	27	4	31	7	7
49	29	9	38	9	4
50	29	10	39	8	6
51	30	2	32	7	1
52	30	2	32	5	1
53	30	3	33	9	2
54	31	4	35	9	2
55	32	10	42	10	1
56	32	2	34	10	1
57	33	5	38	10	8
58	33	6	39	8	4
59	33	6	39	6	1
60	35	3	38	5	6
61	35	7	42	10	8
62	35	10	45	10	5
63	35	5	40	5	8
64	38	7	45	6	4
65	38	1	39	6	3
66	39	4	43	8	4
67	39	9	48	6	1
68	39	1	40	6	5
69	39	7	46	6	3
70	40	2	42	5	8
71	40	6	46	10	5
72	40	4	44	8	4
73	42	4	46	7	3
74	42	5	47	8	4
75	42	8	50	7	8
76	42	8	50	8	6
77	42	9	51	6	7
78	43	5	48	9	5
79	44	7	51	5	5
80	44	6	50	10	7
81	45	3	48	10	3
82	45	1	46	10	5
83	46	8	54	8	5
84	46	1	47	9	6
85	47	4	51	9	1
86	47	7	54	5	8
87	48	2	50	5	2
88	48	6	54	9	3
89	48	2	50	7	4
90	50	5	55	5	7
91	50	5	55	7	7
92	50	1	51	5	3
93	51	1	52	9	7
94	51	7	58	5	5
95	51	4	55	6	6
96	52	5	57	7	6
97	52	7	59	6	2
98	53	1	54	5	6
99	54	2	56	8	1
100	54	6	60	10	8
101	55	1	56	8	7
102	55	4	59	9	3
103	55	6	61	9	5
104	56	6	62	9	2
105	56	6	62	5	4
106	57	4	61	5	5
107	58	3	61	7	2
108	59	6	65	7	1
109	59	4	63	6	6
110	60	5	65	9	7
111	61	3	64	7	2
112	62	7	69	7	1
113	63	6	69	8	4
114	65	4	69	9	7
115	65	7	72	5	1
116	69	4	73	9	3
117	69	7	76	8	2
118	72	5	77	6	5
119	76	3	79	5	6
120	77	4	81	7	2
