作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	10	1
2	0	3	3	9	8
3	0	10	10	5	8
4	3	4	7	9	1
5	3	1	4	5	6
6	3	3	6	6	5
7	3	8	11	7	1
8	4	10	14	7	3
9	4	10	14	7	3
10	6	3	9	6	3
11	6	10	16	7	3
12	7	9	16	9	1
13	7	1	8	6	3
14	8	8	16	8	1
15	9	8	17	9	1
16	10	10	20	10	2
17	14	1	15	10	3
18	14	4	18	6	7
19	14	7	21	7	6
20	15	10	25	9	2
21	15	1	16	7	4
22	15	6	21	9	8
23	16	1	17	8	2
24	16	8	24	9	4
25	16	9	25	10	2
26	17	9	26	6	4
27	18	10	28	10	2
28	20	10	30	7	5
29	20	3	23	7	6
30	21	4	25	8	7
31	21	8	29	6	6
32	24	1	25	7	8
33	25	10	35	9	1
34	25	1	26	8	2
35	25	9	34	10	5
36	26	10	36	10	6
37	26	10	36	9	1
38	27	3	30	5	1
39	27	2	29	8	7
40	27	9	36	7	1
41	28	8	36	8	2
42	28	1	29	5	5
43	28	2	30	9	5
44	29	4	33	6	7
45	29	3	32	10	6
46	30	4	34	7	6
47	30	10	40	5	7
48	31	7	38	10	6
49	34	9	43	5	7
50	34	10	44	5	5
51	34	7	41	9	6
52	35	5	40	8	4
53	35	9	44	5	5
54	36	9	45	9	8
55	38	3	41	5	4
56	38	6	44	10	6
57	40	3	43	6	5
58	40	5	45	6	1
59	41	5	46	8	7
60	41	10	51	5	2
61	41	3	44	9	6
62	43	8	51	6	2
63	43	6	49	6	3
64	44	8	52	8	7
65	44	1	45	5	3
66	45	5	50	5	7
67	45	8	53	8	7
68	45	9	54	7	8
69	46	3	49	8	6
70	46	7	53	7	2
71	49	10	59	10	4
72	51	8	59	9	4
73	52	8	60	9	7
74	52	1	53	7	4
75	53	7	60	7	8
76	53	7	60	5	2
77	54	6	60	8	8
78	59	8	67	9	8
79	59	8	67	7	4
80	59	5	64	6	7
81	59	3	62	10	8
82	60	5	65	9	7
83	60	2	62	7	1
84	60	9	69	5	4
85	61	9	70	6	4
86	62	5	67	7	8
87	62	7	69	7	8
88	64	3	67	7	4
89	65	10	75	5	7
90	67	3	70	7	4
91	67	10	77	10	1
92	67	6	73	7	2
93	67	5	72	6	7
94	69	5	74	6	6
95	69	6	75	5	4
96	70	8	78	8	2
97	70	1	71	7	5
98	70	4	74	6	8
99	74	2	76	8	7
100	74	3	77	5	6
101	77	4	81	9	8
102	77	5	82	6	1
103	77	5	82	8	1
104	77	2	79	10	6
105	78	7	85	8	3
106	81	1	82	10	5
107	82	7	89	5	7
108	82	6	88	10	7
109	82	2	84	8	6
110	85	3	88	8	5
111	88	1	89	9	4
112	88	1	89	7	7
113	89	2	91	10	3
114	89	9	98	8	7
115	91	9	100	9	3
116	98	9	107	10	2
117	100	4	104	9	5
118	104	4	108	8	1
119	107	6	113	9	3
120	108	3	111	8	2
