作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	8	8	9	5
2	0	3	3	5	2
3	1	9	10	5	3
4	3	4	7	10	3
5	3	7	10	6	5
6	7	2	9	6	6
7	8	6	14	7	3
8	8	1	9	6	8
9	9	7	16	7	1
10	9	8	17	8	2
11	9	8	17	5	3
12	10	5	15	5	4
13	10	9	19	10	3
14	11	3	14	8	4
15	14	3	17	7	8
16	14	2	16	10	4
17	15	4	19	6	7
18	16	2	18	10	5
19	16	2	18	6	2
20	17	1	18	5	6
21	17	2	19	8	8
22	18	3	21	6	1
23	18	1	19	10	2
24	19	2	21	9	6
25	19	6	25	5	8
26	19	2	21	6	3
27	19	2	21	6	8
28	19	2	21	5	4
29	21	9	30	7	5
30	21	7	28	7	7
31	21	5	26	9	4
32	21	3	24	10	3
33	22	4	26	8	6
34	24	8	32	8	5
35	24	10	34	7	5
36	25	3	28	8	2
37	26	10	36	5	8
38	28	5	33	8	1
39	28	6	34	5	1
40	28	6	34	8	6
41	30	10	40	7	8
42	32	2	34	6	4
43	33	3	36	9	6
44	34	5	39	5	2
45	34	3	37	10	4
46	34	3	37	5	6
47	36	4	40	10	2
48	37	7	44	5	2
49	37	3	40	5	8
50	39	10	49	7	2
51	39	5	44	9	2
52	40	1	41	6	5
53	40	1	41	6	8
54	40	4	44	6	4
55	40	1	41	7	8
56	41	6	47	7	3
57	41	3	44	5	6
58	44	6	50	6	7
59	44	6	50	5	4
60	44	3	47	8	8
61	44	5	49	8	3
62	45	5	50	9	1
63	47	3	50	7	8
64	49	8	57	7	7
65	49	1	50	10	4
66	49	2	51	5	2
67	50	6	56	8	4
68	50	5	55	10	3
69	50	8	58	9	7
70	50	6	56	5	6
71	50	8	58	7	7
72	50	8	58	9	8
73	51	5	56	10	7
74	51	3	54	8	2
75	56	9	65	10	2
76	56	1	57	5	5
77	57	10	67	6	5
78	57	7	64	8	4
79	58	3	61	8	2
80	58	5	63	5	3
81	58	5	63	8	4
82	61	3	64	8	1
83	63	8	71	10	3
84	63	9	72	9	6
85	64	9	73	9	1
86	65	9	74	5	3
87	65	6	71	7	8
88	67	10	77	8	7
89	67	9	76	8	7
90	68	4	72	5	6
91	71	10	81	7	2
92	72	3	75	10	6
93	72	7	79	6	4
94	73	6	79	10	8
95	74	7	81	10	5
96	76	3	79	9	5
97	79	6	85	9	6
98	79	5	84	5	8
99	79	2	81	6	7
100	81	2	83	5	6
101	81	10	91	10	8
102	83	6	89	7	8
103	83	9	92	6	7
104	84	7	91	6	3
105	85	8	93	5	6
106	85	2	87	10	7
107	87	5	92	5	3
108	89	8	97	5	4
109	89	3	92	8	7
110	91	9	100	9	4
111	92	8	100	7	7
112	92	7	99	10	2
113	93	10	103	6	5
114	99	9	108	8	6
115	100	4	104	9	6
116	103	6	109	8	6
117	104	10	114	8	3
118	108	7	115	9	4
119	109	1	110	8	8
120	114	6	120	7	4
