作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	8	2
2	0	4	4	5	3
3	0	3	3	5	7
4	3	3	6	7	8
5	3	9	12	9	1
6	3	9	12	8	7
7	3	6	9	9	7
8	4	7	11	5	5
9	4	4	8	6	7
10	4	6	10	9	1
11	6	7	13	8	1
12	8	1	9	7	3
13	8	4	12	6	8
14	9	7	16	7	4
15	10	6	16	10	1
16	10	1	11	7	2
17	12	4	16	9	5
18	12	1	13	5	3
19	12	1	13	6	7
20	13	3	16	7	8
21	13	1	14	8	2
22	14	1	15	10	8
23	14	4	18	9	1
24	15	6	21	7	6
25	16	8	24	8	3
26	16	8	24	8	4
27	16	1	17	8	3
28	17	8	25	5	6
29	18	7	25	10	6
30	21	4	25	10	2
31	21	5	26	7	8
32	21	7	28	5	6
33	24	2	26	9	3
34	25	9	34	5	2
35	25	4	29	9	6
36	26	9	35	6	4
37	26	1	27	7	7
38	27	8	35	8	4
39	27	5	32	5	4
40	28	9	37	8	2
41	28	3	31	8	7
42	31	5	36	9	5
43	32	7	39	7	8
44	32	10	42	8	5
45	34	8	42	7	4
46	35	1	36	7	5
47	35	2	37	10	2
48	35	2	37	8	5
49	36	5	41	6	3
50	36	1	37	6	4
51	37	5	42	5	2
52	37	2	39	10	8
53	37	1	38	5	2
54	38	7	45	10	7
55	38	2	40	9	6
56	38	9	47	8	4
57	40	2	42	6	6
58	40	3	43	8	5
59	41	10	51	5	4
60	41	9	50	6	6
61	42	6	48	9	4
62	42	10	52	9	4
63	43	4	47	6	6
64	45	4	49	7	3
65	49	8	57	6	1
66	49	5	54	6	6
67	51	1	52	5	1
68	51	1	52	5	4
69	52	7	59	10	7
70	52	3	55	7	2
71	53	4	57	5	7
72	53	3	56	9	7
73	53	6	59	9	1
74	55	3	58	7	2
75	57	7	64	8	2
76	57	1	58	7	7
77	58	9	67	6	5
78	58	8	66	9	5
79	59	5	64	7	4
80	59	7	66	9	4
81	59	2	61	9	6
82	60	4	64	8	6
83	64	2	66	7	8
84	64	6	70	7	1
85	64	4	68	8	1
86	66	2	68	8	3
87	66	6	72	10	8
88	66	1	67	9	7
89	66	8	74	9	8
90	67	3	70	8	2
91	67	10	77	7	3
92	67	7	74	8	1
93	68	5	73	8	4
94	68	3	71	8	5
95	70	1	71	7	5
96	70	5	75	5	5
97	72	4	76	5	1
98	73	8	81	7	4
99	73	10	83	6	1
100	73	7	80	7	7
101	75	3	78	9	3
102	76	5	81	8	5
103	77	4	81	8	2
104	80	9	89	9	2
105	80	2	82	9	7
106	80	1	81	10	5
107	81	4	85	10	5
108	83	5	88	5	4
109	83	4	87	5	5
110	85	1	86	5	8
111	88	7	95	7	6
112	89	10	99	9	8
113	89	2	91	5	1
114	99	3	102	5	8
115	99	3	102	7	3
116	102	1	103	8	5
117	102	1	103	7	6
118	103	8	111	7	1
119	111	9	120	8	1
120	120	2	122	7	4
