作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	4	4	6	7
2	0	10	10	6	6
3	1	5	6	6	8
4	6	3	9	10	6
5	6	3	9	7	7
6	6	1	7	9	4
7	9	4	13	9	2
8	9	5	14	9	2
9	10	10	20	10	8
10	10	9	19	9	7
11	10	6	16	8	3
12	10	2	12	6	3
13	11	2	13	7	4
14	13	6	19	5	4
15	16	8	24	9	3
16	19	2	21	6	7
17	19	8	27	8	1
18	20	10	30	10	1
19	20	5	25	8	4
20	20	9	29	5	6
21	21	7	28	9	1
22	24	1	25	5	3
23	25	2	27	6	6
24	25	2	27	10	8
25	25	8	33	6	8
26	27	6	33	9	2
27	27	7	34	5	1
28	27	1	28	7	8
29	29	1	30	8	8
30	29	8	37	6	6
31	30	8	38	10	5
32	30	1	31	10	2
33	30	8	38	8	8
34	31	8	39	10	6
35	33	5	38	6	6
36	34	6	40	8	5
37	37	7	44	9	1
38	37	7	44	5	4
39	38	5	43	6	8
40	38	5	43	5	6
41	39	7	46	8	2
42	39	3	42	6	7
43	42	3	45	7	1
44	42	6	48	9	5
45	44	3	47	9	8
46	45	8	53	7	6
47	46	3	49	5	4
48	46	7	53	9	2
49	47	8	55	6	8
50	47	8	55	10	3
51	49	10	59	9	2
52	49	5	54	9	4
53	49	3	52	7	3
54	52	1	53	6	1
55	53	8	61	10	8
56	53	9	62	9	6
57	54	9	63	10	5
58	55	8	63	5	6
59	55	3	58	6	8
60	56	1	57	9	4
61	58	2	60	6	3
62	59	10	69	5	2
63	61	9	70	6	8
64	62	3	65	7	3
65	62	3	65	6	7
66	63	3	66	6	3
67	65	7	72	5	7
68	66	5	71	10	4
69	66	10	76	7	6
70	69	10	79	8	2
71	72	3	75	9	5
72	72	6	78	8	7
73	76	5	81	6	7
74	76	8	84	9	5
75	76	1	77	7	2
76	77	6	83	10	2
77	77	9	86	6	4
78	78	4	82	5	4
79	79	2	81	5	5
80	81	5	86	6	4
81	81	7	88	10	8
82	82	1	83	10	2
83	83	2	85	8	4
84	83	3	86	8	1
85	84	3	87	8	6
86	84	9	93	6	5
87	85	5	90	7	5
88	86	6	92	8	6
89	88	2	90	9	3
90	90	9	99	10	4
91	92	5	97	5	7
92	92	1	93	5	1
93	93	8	101	10	1
94	93	4	97	5	5
95	94	3	97	9	4
96	97	5	102	6	8
97	97	5	102	7	1
98	97	4	101	6	7
99	99	10	109	8	4
100	101	1	102	5	6
101	101	6	107	6	7
102	101	8	109	10	6
103	102	8	110	10	3
104	102	10	112	9	5
105	102	5	107	10	3
106	107	6	113	8	7
107	109	5	114	8	8
108	109	2	111	6	1
109	110	4	114	10	8
110	111	5	116	6	5
111	112	2	114	7	1
112	114	9	123	6	2
113	114	8	122	7	3
114	116	5	121	6	3
115	122	1	123	6	7
116	123	8	131	5	4
117	123	1	124	6	2
118	124	2	126	5	3
119	126	10	136	10	3
120	131	5	136	5	5
