作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	4	4	9	5
2	0	3	3	7	4
3	1	2	3	9	6
4	3	4	7	5	7
5	3	8	11	6	7
6	3	6	9	5	5
7	3	5	8	6	8
8	4	1	5	9	8
9	4	8	12	5	7
10	5	10	15	8	7
11	5	3	8	10	5
12	7	7	14	10	5
13	8	3	11	10	6
14	8	1	9	8	8
15	9	4	13	6	6
16	11	6	17	7	8
17	11	4	15	10	3
18	12	9	21	7	7
19	15	7	22	10	3
20	15	10	25	9	6
21	16	10	26	7	8
22	17	8	25	10	4
23	17	7	24	6	7
24	21	3	24	6	1
25	22	3	25	6	1
26	22	5	27	6	6
27	23	6	29	5	3
28	24	1	25	8	2
29	24	3	27	8	7
30	25	2	27	8	1
31	26	10	36	5	1
32	27	6	33	8	5
33	27	10	37	7	2
34	27	1	28	9	8
35	27	6	33	8	8
36	28	1	29	5	7
37	29	3	32	5	1
38	29	5	34	7	1
39	29	10	39	9	3
40	33	7	40	7	1
41	33	1	34	7	5
42	33	7	40	9	2
43	34	1	35	7	7
44	36	1	37	10	5
45	36	2	38	9	3
46	37	8	45	5	2
47	37	5	42	9	6
48	37	5	42	7	3
49	38	6	44	7	3
50	40	4	44	5	1
51	42	10	52	5	3
52	42	2	44	7	2
53	43	1	44	5	4
54	44	6	50	8	1
55	44	4	48	10	4
56	44	4	48	7	3
57	44	1	45	7	4
58	45	2	47	9	6
59	45	8	53	7	4
60	45	6	51	5	5
61	46	10	56	6	2
62	47	5	52	5	2
63	48	6	54	10	8
64	50	5	55	5	3
65	50	9	59	8	1
66	52	4	56	8	3
67	52	9	61	6	3
68	52	6	58	5	1
69	53	2	55	5	5
70	53	6	59	5	1
71	54	3	57	6	7
72	55	6	61	8	3
73	56	1	57	10	7
74	57	3	60	9	3
75	57	4	61	5	7
76	59	4	63	10	8
77	59	9	68	6	5
78	60	3	63	9	8
79	61	3	64	6	2
80	61	7	68	6	2
81	63	8	71	6	3
82	63	4	67	8	8
83	63	6	69	10	2
84	64	7	71	5	1
85	64	4	68	7	5
86	67	1	68	8	7
87	68	3	71	7	1
88	69	2	71	7	4
89	69	1	70	8	7
90	69	5	74	7	8
91	70	4	74	6	7
92	70	1	71	6	6
93	71	8	79	5	6
94	71	1	72	5	6
95	71	4	75	8	1
96	72	6	78	10	7
97	72	2	74	6	8
98	74	10	84	9	7
99	75	6	81	7	6
100	78	10	88	7	6
101	79	10	89	10	6
102	81	6	87	10	4
103	81	2	83	6	2
104	84	5	89	8	2
105	88	1	89	6	3
106	89	7	96	7	3
107	89	6	95	10	3
108	89	1	90	10	5
109	90	8	98	5	7
110	90	6	96	10	1
111	91	2	93	5	3
112	95	8	103	7	4
113	96	5	101	9	7
114	96	7	103	8	4
115	98	8	106	7	5
116	101	7	108	5	7
117	101	9	110	7	6
118	106	7	113	5	5
119	110	7	117	10	7
120	113	4	117	7	7
