作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	5	8
2	0	4	4	7	7
3	1	10	11	8	8
4	3	3	6	7	2
5	3	7	10	10	8
6	4	2	6	7	8
7	4	2	6	6	2
8	4	10	14	8	3
9	5	1	6	7	5
10	6	9	15	9	4
11	6	7	13	10	7
12	6	4	10	10	8
13	7	8	15	9	8
14	7	6	13	5	2
15	8	1	9	10	7
16	9	2	11	5	5
17	10	9	19	6	5
18	10	2	12	8	4
19	11	9	20	9	5
20	11	2	13	8	6
21	11	8	19	5	5
22	12	8	20	10	2
23	13	9	22	9	8
24	13	8	21	10	4
25	13	1	14	9	8
26	14	7	21	6	4
27	14	8	22	10	1
28	15	4	19	6	3
29	15	7	22	5	5
30	15	8	23	5	6
31	19	4	23	9	2
32	19	6	25	6	1
33	20	2	22	10	8
34	20	6	26	9	7
35	20	9	29	8	2
36	21	6	27	8	7
37	21	4	25	5	1
38	21	10	31	7	3
39	22	8	30	10	6
40	22	3	25	6	7
41	22	1	23	10	6
42	23	5	28	7	1
43	23	5	28	8	5
44	23	3	26	8	2
45	25	8	33	6	4
46	25	7	32	7	2
47	26	10	36	7	8
48	26	5	31	10	7
49	27	10	37	7	8
50	27	8	35	6	7
51	28	6	34	6	2
52	28	2	30	10	5
53	28	7	35	7	4
54	29	1	30	7	7
55	30	6	36	9	8
56	30	2	32	7	3
57	31	2	33	7	3
58	32	9	41	9	2
59	32	1	33	9	2
60	33	4	37	7	4
61	33	1	34	6	5
62	34	8	42	7	2
63	34	10	44	9	4
64	35	3	38	6	2
65	35	4	39	6	5
66	36	2	38	5	8
67	36	4	40	7	4
68	36	1	37	8	6
69	37	2	39	9	8
70	37	10	47	9	2
71	37	8	45	5	6
72	38	2	40	7	4
73	38	1	39	5	1
74	38	6	44	9	1
75	39	7	46	6	6
76	40	2	42	5	2
77	41	3	44	8	8
78	41	5	46	7	6
79	42	3	45	9	6
80	42	3	45	9	8
81	42	3	45	5	3
82	44	5	49	8	2
83	44	5	49	10	4
84	45	1	46	10	8
85	45	2	47	9	8
86	45	10	55	6	7
87	45	1	46	7	2
88	46	6	52	6	5
89	46	4	50	5	1
90	46	4	50	5	6
91	46	6	52	8	2
92	47	3	50	10	5
93	47	6	53	7	7
94	48	1	49	7	4
95	50	3	53	10	8
96	52	8	60	5	1
97	52	6	58	5	6
98	53	6	59	6	7
99	55	6	61	5	3
100	58	3	61	7	5
101	58	7	65	6	7
102	59	9	68	7	2
103	59	3	62	7	3
104	59	10	69	9	4
105	60	2	62	9	8
106	62	4	66	8	6
107	65	7	72	8	1
108	66	2	68	7	7
109	68	1	69	7	1
110	68	7	75	9	2
111	69	4	73	5	4
112	72	4	76	5	7
113	73	7	80	10	2
114	73	2	75	8	7
115	75	5	80	10	4
116	80	4	84	7	7
117	80	1	81	8	5
118	81	2	83	7	6
119	84	8	92	10	6
120	92	4	96	6	1
