作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	2	2	8	3
2	0	8	8	7	1
3	0	6	6	7	2
4	2	2	4	9	6
5	4	5	9	9	4
6	4	8	12	5	4
7	5	10	15	8	2
8	6	4	10	6	6
9	6	6	12	8	3
10	8	5	13	10	8
11	8	8	16	8	2
12	8	6	14	6	8
13	9	10	19	7	3
14	10	4	14	8	5
15	12	6	18	5	6
16	14	5	19	9	7
17	14	8	22	9	1
18	14	10	24	10	2
19	16	7	23	9	8
20	16	10	26	10	3
21	19	4	23	8	5
22	19	1	20	7	5
23	20	9	29	5	7
24	20	3	23	6	2
25	22	9	31	10	2
26	22	3	25	10	4
27	24	1	25	10	3
28	24	10	34	8	5
29	25	9	34	5	4
30	25	1	26	8	1
31	26	6	32	8	2
32	26	7	33	8	1
33	26	10	36	8	3
34	29	10	39	8	5
35	29	5	34	6	1
36	29	10	39	5	6
37	29	10	39	7	5
38	32	4	36	7	1
39	32	1	33	9	6
40	33	2	35	9	6
41	33	8	41	5	5
42	34	2	36	8	8
43	34	10	44	10	3
44	34	3	37	10	5
45	35	5	40	7	3
46	35	3	38	5	2
47	35	1	36	6	7
48	36	3	39	9	4
49	36	2	38	10	3
50	36	6	42	10	7
51	37	4	41	5	6
52	37	1	38	9	7
53	38	4	42	5	2
54	38	5	43	5	3
55	39	4	43	10	6
56	41	7	48	9	4
57	41	10	51	9	8
58	42	6	48	5	8
59	42	3	45	7	6
60	43	1	44	6	3
61	43	9	52	7	2
62	44	9	53	6	8
63	44	1	45	5	7
64	44	3	47	6	4
65	44	8	52	9	8
66	45	5	50	5	4
67	47	6	53	9	8
68	48	5	53	8	3
69	51	7	58	9	7
70	52	2	54	9	6
71	52	4	56	6	6
72	53	5	58	8	7
73	53	1	54	8	6
74	54	6	60	7	3
75	54	1	55	10	7
76	54	8	62	10	2
77	55	4	59	5	6
78	55	6	61	7	8
79	55	8	63	7	8
80	56	7	63	10	3
81	58	6	64	10	6
82	58	1	59	7	8
83	58	5	63	8	3
84	58	7	65	9	7
85	59	6	65	7	6
86	61	2	63	6	6
87	62	7	69	10	5
88	63	5	68	5	7
89	63	9	72	8	4
90	63	7	70	7	3
91	64	4	68	6	1
92	65	8	73	8	8
93	65	7	72	10	8
94	68	1	69	7	1
95	70	2	72	8	5
96	70	4	74	10	7
97	71	6	77	10	4
98	72	8	80	9	5
99	72	3	75	5	6
100	72	4	76	6	2
101	74	2	76	10	6
102	76	9	85	10	2
103	77	6	83	7	3
104	77	5	82	6	4
105	80	5	85	8	6
106	82	10	92	7	8
107	83	3	86	8	5
108	83	8	91	5	7
109	85	3	88	10	4
110	85	7	92	5	5
111	86	1	87	10	5
112	87	6	93	6	8
113	92	10	102	9	4
114	92	3	95	9	4
115	93	10	103	9	4
116	95	8	103	8	8
117	102	9	111	6	2
118	103	5	108	7	6
119	103	10	113	5	4
120	113	7	120	7	6
