作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	6	8
2	0	1	1	5	3
3	0	6	6	5	5
4	1	10	11	6	1
5	1	5	6	10	8
6	2	7	9	9	7
7	6	7	13	5	7
8	6	1	7	9	7
9	6	1	7	5	5
10	7	3	10	8	7
11	7	6	13	5	6
12	8	8	16	9	2
13	9	7	16	10	4
14	11	3	14	9	4
15	11	5	16	6	4
16	13	8	21	9	4
17	13	7	20	5	7
18	14	6	20	5	5
19	16	3	19	5	6
20	16	7	23	7	6
21	19	7	26	10	5
22	19	9	28	8	5
23	20	5	25	7	7
24	20	7	27	6	5
25	20	8	28	9	4
26	21	9	30	9	7
27	21	10	31	9	7
28	25	1	26	7	6
29	26	1	27	6	8
30	26	8	34	7	6
31	27	10	37	9	7
32	27	7	34	9	4
33	28	1	29	6	3
34	29	10	39	9	3
35	29	3	32	9	2
36	32	4	36	9	4
37	32	4	36	6	7
38	34	8	42	10	5
39	34	2	36	5	2
40	34	7	41	9	1
41	36	1	37	5	3
42	36	9	45	8	8
43	37	3	40	9	8
44	37	9	46	9	3
45	39	3	42	6	4
46	40	10	50	6	2
47	40	6	46	6	6
48	42	6	48	5	1
49	45	10	55	9	1
50	46	2	48	6	2
51	46	2	48	5	8
52	48	2	50	9	6
53	48	9	57	9	3
54	48	9	57	8	8
55	49	2	51	9	8
56	50	6	56	8	1
57	51	2	53	6	4
58	53	2	55	7	4
59	55	1	56	5	8
60	55	2	57	9	3
61	55	8	63	8	4
62	56	9	65	5	3
63	56	7	63	10	5
64	57	7	64	5	4
65	57	6	63	9	7
66	63	3	66	9	1
67	63	5	68	10	5
68	64	5	69	10	3
69	64	7	71	8	8
70	66	1	67	5	4
71	66	9	75	6	7
72	67	8	75	7	3
73	67	9	76	10	2
74	68	10	78	10	6
75	69	8	77	6	5
76	69	9	78	10	8
77	75	1	76	6	8
78	75	7	82	8	6
79	77	1	78	9	4
80	78	10	88	9	2
81	78	8	86	5	2
82	78	4	82	5	8
83	79	1	80	6	4
84	82	3	85	5	6
85	82	6	88	8	2
86	85	1	86	10	2
87	86	5	91	9	3
88	88	3	91	10	7
89	88	1	89	10	6
90	88	5	93	7	7
91	89	3	92	8	4
92	91	8	99	6	2
93	91	6	97	10	7
94	92	10	102	9	1
95	92	10	102	10	2
96	93	8	101	7	1
97	93	10	103	6	8
98	97	4	101	6	2
99	101	5	106	9	4
100	101	7	108	5	5
101	102	2	104	10	3
102	102	6	108	5	1
103	103	8	111	9	7
104	104	1	105	6	1
105	106	10	116	10	6
106	108	5	113	9	1
107	108	4	112	5	8
108	111	3	114	8	6
109	111	1	112	10	7
110	112	3	115	5	3
111	113	8	121	8	1
112	114	6	120	9	4
113	115	9	124	9	7
114	116	10	126	10	7
115	120	9	129	5	7
116	120	6	126	5	4
117	121	10	131	8	7
118	129	5	134	9	3
119	131	1	132	6	2
120	134	7	141	8	1
