作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	1	1	10	7
2	0	1	1	6	8
3	1	1	2	9	5
4	1	4	5	5	5
5	1	2	3	7	7
6	2	3	5	10	1
7	2	6	8	10	5
8	2	7	9	10	6
9	3	10	13	5	4
10	3	8	11	8	4
11	3	5	8	7	8
12	4	1	5	5	4
13	5	10	15	9	1
14	5	2	7	9	4
15	5	2	7	6	8
16	8	2	10	7	3
17	8	3	11	10	5
18	9	1	10	9	2
19	10	3	13	7	6
20	10	5	15	7	4
21	10	2	12	5	7
22	11	7	18	8	6
23	11	4	15	9	6
24	12	9	21	9	3
25	12	1	13	7	3
26	12	8	20	7	6
27	13	7	20	5	8
28	13	6	19	7	1
29	14	4	18	10	7
30	14	8	22	6	6
31	15	9	24	9	6
32	15	2	17	6	5
33	15	3	18	7	5
34	15	9	24	6	4
35	16	6	22	10	7
36	17	1	18	7	4
37	17	5	22	5	1
38	18	1	19	7	5
39	18	9	27	7	4
40	18	8	26	9	8
41	19	1	20	7	3
42	19	10	29	10	8
43	20	9	29	7	5
44	20	5	25	6	8
45	20	10	30	5	5
46	21	8	29	7	5
47	22	2	24	8	7
48	24	2	26	8	3
49	24	3	27	7	1
50	24	6	30	5	2
51	25	3	28	8	3
52	26	9	35	7	6
53	27	5	32	10	1
54	27	1	28	9	8
55	27	7	34	7	7
56	28	5	33	9	4
57	29	5	34	5	2
58	29	10	39	6	4
59	29	8	37	9	3
60	30	4	34	5	7
61	30	8	38	6	2
62	32	7	39	6	3
63	34	10	44	7	7
64	34	3	37	10	2
65	35	9	44	7	2
66	35	1	36	5	3
67	35	8	43	6	5
68	36	1	37	7	1
69	36	10	46	10	3
70	37	9	46	5	4
71	38	3	41	10	4
72	39	2	41	7	3
73	39	6	45	10	8
74	41	5	46	7	3
75	41	6	47	8	3
76	41	9	50	8	2
77	42	10	52	10	3
78	42	7	49	10	3
79	43	8	51	5	2
80	43	3	46	6	1
81	44	5	49	5	5
82	46	9	55	7	3
83	46	8	54	8	4
84	46	1	47	6	4
85	47	6	53	9	2
86	49	5	54	8	4
87	49	10	59	6	5
88	50	6	56	10	7
89	50	9	59	9	8
90	52	3	55	7	4
91	54	8	62	7	6
92	54	3	57	8	2
93	55	6	61	8	8
94	59	2	61	7	8
95	59	10	69	9	2
96	61	6	67	10	6
97	61	7	68	5	1
98	61	8	69	6	4
99	62	8	70	10	2
100	62	9	71	9	4
101	62	5	67	9	8
102	67	4	71	8	3
103	67	6	73	9	2
104	68	3	71	10	4
105	68	4	72	7	1
106	69	1	70	8	2
107	69	6	75	9	7
108	70	9	79	8	4
109	70	3	73	10	3
110	71	6	77	9	6
111	71	1	72	5	3
112	71	7	78	9	5
113	73	9	82	6	7
114	75	3	78	7	2
115	78	10	88	6	5
116	79	6	85	10	6
117	82	7	89	5	8
118	82	7	89	9	4
119	89	1	90	5	3
120	90	2	92	7	3
