作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	4	4	7	1
2	0	6	6	6	4
3	0	1	1	10	4
4	1	7	8	6	2
5	1	4	5	8	4
6	1	7	8	7	3
7	4	6	10	10	3
8	4	5	9	5	6
9	4	3	7	10	6
10	5	3	8	9	4
11	6	4	10	5	3
12	6	1	7	7	8
13	7	4	11	5	2
14	7	7	14	7	3
15	7	7	14	8	3
16	8	9	17	5	6
17	8	9	17	6	7
18	9	1	10	5	5
19	10	2	12	9	8
20	10	3	13	5	5
21	10	1	11	10	7
22	11	8	19	5	8
23	11	5	16	5	4
24	12	10	22	8	4
25	12	6	18	8	8
26	13	5	18	9	6
27	14	10	24	9	1
28	16	7	23	8	1
29	17	9	26	8	3
30	18	10	28	6	7
31	18	5	23	5	8
32	19	9	28	9	3
33	19	2	21	7	7
34	19	7	26	5	1
35	22	5	27	6	5
36	22	2	24	10	1
37	23	3	26	9	3
38	24	9	33	7	3
39	24	10	34	6	5
40	26	4	30	9	6
41	26	1	27	9	8
42	27	1	28	9	5
43	27	2	29	8	4
44	28	8	36	10	2
45	28	10	38	6	8
46	28	4	32	10	4
47	29	4	33	8	3
48	29	8	37	7	8
49	30	9	39	5	7
50	32	1	33	8	3
51	33	10	43	6	4
52	33	1	34	5	8
53	33	8	41	10	6
54	33	7	40	10	3
55	34	10	44	8	3
56	36	10	46	9	1
57	38	3	41	7	6
58	38	4	42	5	1
59	39	6	45	5	2
60	40	1	41	8	8
61	41	6	47	9	8
62	41	8	49	10	3
63	42	3	45	8	5
64	43	8	51	7	4
65	44	6	50	10	4
66	45	9	54	6	4
67	45	9	54	5	5
68	49	9	58	7	3
69	49	6	55	10	7
70	50	3	53	8	8
71	53	5	58	7	5
72	54	4	58	7	8
73	54	5	59	6	8
74	55	8	63	10	8
75	55	8	63	6	4
76	55	1	56	10	7
77	56	5	61	5	5
78	56	3	59	7	3
79	56	3	59	8	7
80	58	4	62	7	3
81	58	7	65	6	4
82	58	7	65	7	2
83	59	1	60	10	3
84	61	3	64	5	8
85	61	6	67	6	7
86	62	9	71	6	3
87	62	8	70	9	6
88	63	7	70	8	2
89	64	5	69	7	8
90	64	6	70	5	6
91	65	9	74	9	4
92	65	3	68	6	4
93	67	10	77	8	4
94	67	4	71	6	4
95	67	7	74	5	8
96	69	5	74	9	2
97	70	10	80	7	2
98	70	10	80	8	8
99	71	5	76	5	3
100	74	9	83	10	7
101	74	5	79	10	8
102	75	5	80	8	4
103	76	7	83	6	5
104	77	8	85	5	4
105	80	9	89	5	3
106	80	6	86	10	5
107	83	7	90	8	5
108	83	1	84	8	8
109	83	8	91	6	1
110	84	7	91	8	4
111	86	6	92	5	5
112	89	2	91	9	3
113	90	7	97	5	1
114	91	6	97	9	5
115	91	4	95	5	5
116	91	8	99	5	2
117	97	2	99	5	3
118	97	6	103	10	6
119	99	9	108	9	8
120	103	4	107	6	1
