作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	8	3
2	0	3	3	5	5
3	1	6	7	8	7
4	3	4	7	8	5
5	3	9	12	9	7
6	4	9	13	8	8
7	4	4	8	8	2
8	5	9	14	8	1
9	5	1	6	10	7
10	6	3	9	7	4
11	6	5	11	10	7
12	6	4	10	9	4
13	7	6	13	7	2
14	7	6	13	10	6
15	7	3	10	6	8
16	8	10	18	5	8
17	9	2	11	7	6
18	10	5	15	9	3
19	10	9	19	5	3
20	11	7	18	6	2
21	11	4	15	6	6
22	13	1	14	7	8
23	13	5	18	10	6
24	13	3	16	10	8
25	13	10	23	9	8
26	14	7	21	8	3
27	14	4	18	10	3
28	15	8	23	8	7
29	18	1	19	8	6
30	18	2	20	5	3
31	19	2	21	10	8
32	19	10	29	7	8
33	21	6	27	9	6
34	21	6	27	7	7
35	23	8	31	7	3
36	23	3	26	5	5
37	23	4	27	8	2
38	26	1	27	5	3
39	27	2	29	6	6
40	27	6	33	8	6
41	27	5	32	6	1
42	28	1	29	5	2
43	29	1	30	6	7
44	29	4	33	5	1
45	29	4	33	6	8
46	31	8	39	9	4
47	31	8	39	6	8
48	32	6	38	6	3
49	32	10	42	6	4
50	33	5	38	6	2
51	33	10	43	6	1
52	33	4	37	8	4
53	33	1	34	10	1
54	34	3	37	8	6
55	34	1	35	5	2
56	37	2	39	7	7
57	39	3	42	5	3
58	39	5	44	5	7
59	40	5	45	10	2
60	42	6	48	9	8
61	42	7	49	8	3
62	42	8	50	8	4
63	42	5	47	8	6
64	44	5	49	7	6
65	44	3	47	10	7
66	45	6	51	5	7
67	45	8	53	8	4
68	47	2	49	7	2
69	48	5	53	8	6
70	49	4	53	6	2
71	49	6	55	5	3
72	49	8	57	10	8
73	49	3	52	8	8
74	50	10	60	6	8
75	50	10	60	10	5
76	51	6	57	7	1
77	53	9	62	9	2
78	53	10	63	8	8
79	55	5	60	7	1
80	57	8	65	10	3
81	57	3	60	8	8
82	57	7	64	9	4
83	60	9	69	5	5
84	60	6	66	6	6
85	60	9	69	10	8
86	61	10	71	6	2
87	63	8	71	10	4
88	65	6	71	9	2
89	65	9	74	7	6
90	69	3	72	10	6
91	71	5	76	7	5
92	71	9	80	9	3
93	71	5	76	6	8
94	72	1	73	5	3
95	72	9	81	9	5
96	74	9	83	9	5
97	74	3	77	9	8
98	76	5	81	8	2
99	77	2	79	8	5
100	77	1	78	9	8
101	78	4	82	8	5
102	81	8	89	5	8
103	82	8	90	6	3
104	82	2	84	6	3
105	83	7	90	7	4
106	84	3	87	7	7
107	87	3	90	5	2
108	89	10	99	10	1
109	89	9	98	5	4
110	90	3	93	5	2
111	90	8	98	8	1
112	90	9	99	10	3
113	93	10	103	6	6
114	98	3	101	7	8
115	98	1	99	10	5
116	99	3	102	8	7
117	101	10	111	10	1
118	103	7	110	5	7
119	110	5	115	7	7
120	115	6	121	5	1
