作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	10	10	6	1
2	0	2	2	8	6
3	0	4	4	6	7
4	2	1	3	9	3
5	2	8	10	10	8
6	2	7	9	8	5
7	3	7	10	6	4
8	3	9	12	10	4
9	4	10	14	8	8
10	4	10	14	7	4
11	5	8	13	7	3
12	10	3	13	7	5
13	10	1	11	10	7
14	10	5	15	7	4
15	11	3	14	9	5
16	11	5	16	8	5
17	11	10	21	7	4
18	12	6	18	9	1
19	13	7	20	7	8
20	14	8	22	10	6
21	14	2	16	8	5
22	14	8	22	9	5
23	15	5	20	5	1
24	15	10	25	7	3
25	16	4	20	6	2
26	16	7	23	7	3
27	17	10	27	6	6
28	20	3	23	10	8
29	20	8	28	8	8
30	20	9	29	9	4
31	22	6	28	7	3
32	23	2	25	8	3
33	23	3	26	6	1
34	24	1	25	5	7
35	24	4	28	8	6
36	25	1	26	5	5
37	25	4	29	10	6
38	25	9	34	10	8
39	26	7	33	8	8
40	27	3	30	7	7
41	28	4	32	7	1
42	28	1	29	5	5
43	28	7	35	6	3
44	29	3	32	6	6
45	29	1	30	7	7
46	29	3	32	7	4
47	29	3	32	5	5
48	30	8	38	6	2
49	30	3	33	10	4
50	32	2	34	6	1
51	32	6	38	10	6
52	32	7	39	9	5
53	32	1	33	6	6
54	33	9	42	6	5
55	33	7	40	9	1
56	34	8	42	7	6
57	34	9	43	7	1
58	35	6	41	5	4
59	35	6	41	6	8
60	38	2	40	5	8
61	38	1	39	9	4
62	39	8	47	7	6
63	39	7	46	6	5
64	40	10	50	7	3
65	40	3	43	7	7
66	41	5	46	10	1
67	42	6	48	9	3
68	42	1	43	10	6
69	42	6	48	6	5
70	43	8	51	7	4
71	43	8	51	5	6
72	43	5	48	10	3
73	46	3	49	7	7
74	47	9	56	10	2
75	48	10	58	8	8
76	48	5	53	10	1
77	48	2	50	6	3
78	49	9	58	6	4
79	49	3	52	6	8
80	50	3	53	6	6
81	53	4	57	6	8
82	53	8	61	6	8
83	53	4	57	6	3
84	54	9	63	10	2
85	54	7	61	5	3
86	56	2	58	5	5
87	56	9	65	8	6
88	57	6	63	10	2
89	57	10	67	8	8
90	57	10	67	7	4
91	58	3	61	8	3
92	58	6	64	9	5
93	58	4	62	9	7
94	61	10	71	10	4
95	61	9	70	5	3
96	61	9	70	7	3
97	62	3	65	6	6
98	63	9	72	6	1
99	63	2	65	7	8
100	65	1	66	5	1
101	67	4	71	10	7
102	67	1	68	10	2
103	68	8	76	9	3
104	70	6	76	7	5
105	71	3	74	7	2
106	72	8	80	10	3
107	74	5	79	8	8
108	76	7	83	5	8
109	76	1	77	5	6
110	77	10	87	5	3
111	80	3	83	7	5
112	80	8	88	5	7
113	83	2	85	10	7
114	85	10	95	7	8
115	87	10	97	8	7
116	88	6	94	9	5
117	94	8	102	10	3
118	97	1	98	8	6
119	98	5	103	6	6
120	103	3	106	9	4
