作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	1	1	9	3
2	0	5	5	7	5
3	0	9	9	6	7
4	1	3	4	8	1
5	1	9	10	10	6
6	5	5	10	5	7
7	5	2	7	9	1
8	7	4	11	9	6
9	7	1	8	10	4
10	8	8	16	5	7
11	9	8	17	9	3
12	9	6	15	8	4
13	10	7	17	8	6
14	10	7	17	8	2
15	10	1	11	5	3
16	11	2	13	6	2
17	11	4	15	10	5
18	15	5	20	6	1
19	15	1	16	9	4
20	16	3	19	9	5
21	17	3	20	10	2
22	17	1	18	7	6
23	17	8	25	5	1
24	17	2	19	7	3
25	19	7	26	10	1
26	20	9	29	10	8
27	20	6	26	7	8
28	20	10	30	8	4
29	25	3	28	8	8
30	26	3	29	10	5
31	26	4	30	6	4
32	26	3	29	5	5
33	29	4	33	8	7
34	29	1	30	10	1
35	29	6	35	10	6
36	29	7	36	10	5
37	30	4	34	9	4
38	30	1	31	5	5
39	31	5	36	9	8
40	31	5	36	6	5
41	32	6	38	7	2
42	35	8	43	6	8
43	35	10	45	7	3
44	35	1	36	9	8
45	36	6	42	5	6
46	36	6	42	7	7
47	36	5	41	8	2
48	37	2	39	6	4
49	38	9	47	5	8
50	42	10	52	6	3
51	42	5	47	5	3
52	43	2	45	7	2
53	45	6	51	5	3
54	45	3	48	6	8
55	45	9	54	10	1
56	47	7	54	9	6
57	47	6	53	8	3
58	48	10	58	5	1
59	51	5	56	5	1
60	52	10	62	5	3
61	53	10	63	5	1
62	54	4	58	5	1
63	54	4	58	6	2
64	54	8	62	5	4
65	56	7	63	5	5
66	58	3	61	7	7
67	58	9	67	9	1
68	58	2	60	8	1
69	58	3	61	10	1
70	61	7	68	10	2
71	62	2	64	10	7
72	62	7	69	5	1
73	63	6	69	5	6
74	63	5	68	5	3
75	63	5	68	5	3
76	63	5	68	6	8
77	63	4	67	9	8
78	68	4	72	5	1
79	68	9	77	6	3
80	69	9	78	10	8
81	69	10	79	6	7
82	69	10	79	9	3
83	72	5	77	8	7
84	72	2	74	5	6
85	72	4	76	9	1
86	76	5	81	6	1
87	77	6	83	6	1
88	77	1	78	6	3
89	78	3	81	10	8
90	78	1	79	5	5
91	78	9	87	5	7
92	79	8	87	7	7
93	81	3	84	6	4
94	81	6	87	5	7
95	81	8	89	10	4
96	84	4	88	10	5
97	87	1	88	5	8
98	87	5	92	10	2
99	87	8	95	10	6
100	88	7	95	7	2
101	89	3	92	9	4
102	89	7	96	8	1
103	92	3	95	5	3
104	92	8	100	9	7
105	95	2	97	9	7
106	95	4	99	5	2
107	95	1	96	6	4
108	96	4	100	10	4
109	96	9	105	7	8
110	96	5	101	5	2
111	97	3	100	9	2
112	99	1	100	9	3
113	100	2	102	6	5
114	100	1	101	10	3
115	100	8	108	5	1
116	101	9	110	7	2
117	105	4	109	8	7
118	110	9	119	9	5
119	110	7	117	6	3
120	117	10	127	9	8
