作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	10	10	8	8
2	0	7	7	10	6
3	0	10	10	5	7
4	7	7	14	7	6
5	7	7	14	8	4
6	8	1	9	7	3
7	9	6	15	6	4
8	9	1	10	5	5
9	10	3	13	8	1
10	10	6	16	10	7
11	10	2	12	5	2
12	11	1	12	9	7
13	11	6	17	10	4
14	12	5	17	5	1
15	12	1	13	6	2
16	13	3	16	10	4
17	13	9	22	8	7
18	13	6	19	8	2
19	14	9	23	6	7
20	14	9	23	7	5
21	15	9	24	5	4
22	15	3	18	7	6
23	16	6	22	5	4
24	16	10	26	9	2
25	17	5	22	7	2
26	19	10	29	7	3
27	22	9	31	6	1
28	22	10	32	7	4
29	23	9	32	6	2
30	23	8	31	9	6
31	23	8	31	9	3
32	24	5	29	7	4
33	26	1	27	7	8
34	26	6	32	8	3
35	27	4	31	10	8
36	31	2	33	7	6
37	31	10	41	8	3
38	31	4	35	9	6
39	32	2	34	9	1
40	33	9	42	9	4
41	33	10	43	8	8
42	33	1	34	8	1
43	34	1	35	8	5
44	34	6	40	5	5
45	34	4	38	8	1
46	35	3	38	10	1
47	35	2	37	10	7
48	36	4	40	9	6
49	37	6	43	5	8
50	38	8	46	6	1
51	38	7	45	10	4
52	40	4	44	6	5
53	40	5	45	9	7
54	40	9	49	10	8
55	41	7	48	7	5
56	42	8	50	9	3
57	43	3	46	7	4
58	43	7	50	5	7
59	44	6	50	9	3
60	44	1	45	9	7
61	45	9	54	10	1
62	45	10	55	9	7
63	45	8	53	5	4
64	48	3	51	9	6
65	48	4	52	8	1
66	49	9	58	9	7
67	50	6	56	9	6
68	50	2	52	8	2
69	50	3	53	9	1
70	52	8	60	6	8
71	52	9	61	9	2
72	53	2	55	6	8
73	53	7	60	6	6
74	54	7	61	8	5
75	55	5	60	9	8
76	55	3	58	10	6
77	55	4	59	5	3
78	55	3	58	6	7
79	58	4	62	8	3
80	58	2	60	8	4
81	60	10	70	5	2
82	60	8	68	6	3
83	61	1	62	10	8
84	61	2	63	7	7
85	62	4	66	10	7
86	62	8	70	5	6
87	63	1	64	10	8
88	68	8	76	5	5
89	68	10	78	10	8
90	68	6	74	8	4
91	70	9	79	10	2
92	70	8	78	10	6
93	78	9	87	5	8
94	78	2	80	9	4
95	78	2	80	8	7
96	79	6	85	8	3
97	80	8	88	8	7
98	85	9	94	10	5
99	87	3	90	10	8
100	87	8	95	10	3
101	90	10	100	6	6
102	94	9	103	9	8
103	95	7	102	9	2
104	95	7	102	9	2
105	95	7	102	6	5
106	100	6	106	10	6
107	102	6	108	9	2
108	102	5	107	8	8
109	102	6	108	6	5
110	103	4	107	6	8
111	106	2	108	6	1
112	108	10	118	6	1
113	108	2	110	6	6
114	109	6	115	6	2
115	110	8	118	5	5
116	110	5	115	9	8
117	118	3	121	10	3
118	118	9	127	6	1
119	121	10	131	7	1
120	127	3	130	10	8
