作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	5	6
2	0	6	6	10	4
3	0	2	2	8	8
4	2	5	7	9	4
5	2	4	6	10	3
6	2	5	7	9	2
7	3	4	7	5	2
8	3	6	9	10	2
9	4	1	5	7	8
10	6	7	13	5	1
11	6	1	7	6	1
12	6	1	7	9	8
13	7	6	13	10	5
14	7	2	9	10	8
15	7	8	15	10	2
16	8	10	18	7	6
17	8	3	11	6	1
18	9	5	14	8	1
19	9	5	14	6	1
20	10	9	19	8	4
21	10	6	16	7	2
22	13	3	16	7	3
23	13	5	18	8	1
24	13	9	22	10	3
25	14	4	18	8	6
26	14	5	19	5	5
27	14	2	16	9	1
28	15	3	18	7	1
29	16	1	17	10	8
30	16	5	21	8	8
31	16	9	25	5	7
32	16	10	26	8	6
33	18	6	24	5	2
34	18	4	22	9	1
35	18	5	23	8	7
36	19	4	23	9	3
37	19	8	27	7	5
38	19	9	28	8	1
39	22	2	24	8	5
40	22	7	29	6	8
41	23	10	33	9	5
42	24	1	25	7	2
43	24	4	28	5	7
44	25	5	30	10	2
45	27	7	34	8	5
46	27	6	33	6	3
47	27	3	30	8	6
48	28	4	32	7	6
49	29	10	39	8	6
50	29	9	38	6	5
51	30	3	33	6	6
52	30	3	33	9	6
53	32	9	41	10	7
54	33	9	42	6	2
55	33	7	40	7	3
56	34	7	41	7	4
57	34	6	40	9	5
58	38	10	48	6	4
59	38	2	40	7	3
60	39	9	48	8	2
61	39	1	40	6	5
62	40	9	49	8	1
63	40	7	47	8	5
64	40	10	50	9	6
65	41	4	45	5	8
66	41	9	50	7	8
67	48	10	58	6	7
68	48	7	55	9	8
69	48	4	52	10	6
70	49	7	56	7	3
71	49	5	54	8	7
72	50	4	54	9	2
73	50	4	54	5	7
74	50	3	53	8	8
75	51	8	59	7	8
76	52	8	60	6	3
77	52	6	58	5	1
78	53	10	63	6	5
79	54	1	55	6	6
80	54	3	57	5	3
81	55	3	58	5	5
82	55	3	58	10	4
83	58	8	66	10	5
84	58	3	61	5	8
85	58	4	62	10	3
86	58	2	60	8	6
87	58	6	64	5	3
88	59	8	67	8	4
89	60	3	63	10	3
90	62	8	70	10	7
91	62	4	66	10	7
92	63	7	70	6	2
93	63	2	65	9	1
94	63	9	72	9	3
95	64	10	74	7	1
96	66	9	75	9	3
97	67	2	69	8	1
98	67	10	77	6	1
99	70	9	79	9	3
100	70	9	79	6	4
101	71	2	73	9	6
102	72	8	80	5	2
103	73	6	79	7	5
104	75	3	78	6	7
105	78	2	80	7	8
106	79	5	84	9	8
107	79	3	82	8	2
108	80	9	89	7	3
109	80	7	87	7	6
110	82	2	84	9	8
111	82	4	86	9	7
112	84	4	88	7	7
113	84	6	90	8	3
114	87	3	90	5	1
115	88	4	92	5	5
116	89	5	94	8	5
117	90	10	100	5	5
118	92	8	100	5	2
119	94	7	101	9	1
120	100	1	101	10	1
