作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	4	4	9	8
2	0	2	2	10	6
3	0	6	6	6	6
4	2	7	9	5	5
5	2	7	9	9	8
6	4	2	6	7	6
7	6	2	8	9	6
8	6	4	10	5	6
9	6	4	10	9	6
10	8	3	11	7	2
11	9	2	11	6	7
12	10	8	18	7	3
13	10	1	11	8	5
14	10	4	14	9	1
15	11	10	21	6	8
16	11	9	20	8	4
17	11	10	21	10	4
18	12	7	19	8	3
19	14	10	24	9	1
20	14	5	19	9	4
21	15	6	21	5	5
22	19	9	28	7	1
23	21	6	27	5	3
24	21	8	29	10	4
25	21	1	22	5	6
26	22	10	32	6	7
27	24	1	25	6	6
28	24	5	29	8	8
29	28	2	30	8	5
30	28	6	34	5	6
31	29	2	31	10	8
32	29	5	34	7	6
33	30	9	39	6	8
34	31	10	41	9	3
35	31	3	34	5	6
36	32	8	40	5	6
37	32	2	34	10	8
38	34	10	44	5	6
39	34	9	43	7	3
40	34	2	36	6	2
41	36	6	42	8	3
42	39	9	48	5	4
43	40	3	43	9	7
44	40	3	43	5	2
45	43	2	45	10	6
46	43	3	46	9	1
47	44	1	45	10	1
48	44	3	47	7	2
49	45	9	54	5	6
50	45	8	53	9	2
51	46	7	53	8	6
52	46	10	56	7	3
53	47	8	55	9	6
54	47	5	52	10	4
55	48	9	57	8	7
56	48	2	50	7	2
57	52	10	62	7	8
58	53	7	60	5	6
59	53	2	55	10	8
60	53	6	59	5	4
61	53	5	58	10	5
62	54	9	63	6	5
63	54	4	58	10	8
64	55	3	58	9	7
65	55	6	61	7	7
66	56	6	62	8	7
67	58	6	64	9	1
68	60	8	68	8	7
69	60	1	61	10	7
70	61	2	63	9	1
71	62	1	63	10	6
72	63	10	73	8	2
73	63	7	70	6	5
74	64	2	66	9	1
75	64	2	66	5	6
76	66	5	71	7	2
77	66	6	72	8	2
78	66	7	73	6	1
79	68	3	71	7	7
80	68	5	73	7	7
81	70	10	80	10	2
82	71	9	80	10	7
83	72	9	81	6	5
84	73	5	78	8	3
85	73	7	80	6	2
86	73	10	83	9	1
87	80	5	85	6	8
88	80	3	83	8	1
89	80	2	82	5	1
90	80	2	82	6	4
91	82	4	86	6	6
92	82	7	89	9	6
93	83	9	92	8	3
94	85	1	86	6	4
95	85	10	95	9	5
96	86	9	95	7	1
97	89	2	91	7	8
98	91	7	98	5	6
99	92	10	102	9	7
100	92	5	97	10	6
101	95	3	98	5	4
102	97	10	107	9	7
103	98	1	99	10	3
104	98	1	99	5	6
105	99	2	101	8	2
106	99	5	104	10	3
107	100	10	110	8	8
108	102	10	112	8	3
109	102	3	105	7	3
110	104	5	109	6	8
111	107	8	115	7	1
112	110	4	114	8	6
113	114	5	119	10	6
114	115	10	125	8	3
115	119	2	121	9	7
116	121	3	124	7	3
117	124	1	125	6	5
118	125	9	134	7	7
119	125	9	134	10	8
120	134	8	142	9	2
