作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	5	5	8	2
2	0	7	7	5	1
3	0	2	2	8	5
4	2	2	4	10	7
5	2	10	12	7	3
6	3	5	8	8	5
7	7	7	14	9	6
8	7	6	13	7	5
9	7	7	14	5	5
10	8	7	15	5	1
11	12	3	15	5	6
12	12	4	16	8	5
13	13	9	22	6	8
14	13	9	22	10	3
15	14	6	20	8	4
16	14	9	23	7	8
17	14	7	21	6	3
18	15	9	24	10	8
19	15	9	24	8	4
20	16	5	21	9	6
21	16	5	21	9	1
22	21	9	30	8	5
23	21	9	30	10	6
24	22	10	32	7	7
25	22	8	30	9	5
26	22	5	27	5	1
27	22	9	31	9	4
28	23	10	33	7	1
29	24	1	25	8	5
30	24	7	31	9	6
31	24	7	31	9	5
32	24	7	31	6	8
33	27	6	33	10	5
34	27	3	30	6	3
35	30	4	34	9	5
36	30	1	31	10	5
37	30	6	36	10	4
38	30	7	37	6	1
39	31	2	33	5	1
40	31	6	37	9	5
41	31	8	39	8	1
42	32	8	40	7	1
43	32	4	36	7	3
44	32	8	40	5	7
45	33	1	34	10	8
46	33	3	36	7	1
47	33	1	34	9	1
48	34	10	44	5	2
49	34	4	38	10	6
50	34	4	38	8	3
51	36	10	46	7	1
52	37	7	44	5	3
53	37	1	38	8	4
54	37	3	40	5	3
55	38	8	46	5	4
56	38	7	45	5	4
57	38	4	42	10	2
58	38	9	47	5	6
59	39	10	49	5	1
60	40	8	48	7	6
61	40	4	44	7	4
62	44	7	51	7	8
63	44	1	45	5	8
64	45	4	49	10	8
65	45	1	46	7	2
66	45	1	46	6	3
67	46	8	54	8	4
68	46	5	51	6	5
69	46	1	47	5	2
70	46	8	54	8	8
71	47	10	57	5	7
72	47	1	48	9	4
73	48	5	53	10	1
74	49	2	51	6	5
75	49	4	53	10	3
76	51	5	56	5	7
77	51	5	56	6	8
78	51	7	58	9	1
79	51	4	55	8	1
80	52	8	60	5	5
81	53	7	60	8	3
82	53	10	63	10	8
83	53	6	59	6	6
84	54	9	63	9	4
85	55	10	65	10	5
86	56	8	64	8	7
87	56	5	61	7	4
88	57	5	62	8	6
89	58	3	61	8	8
90	60	7	67	5	1
91	61	4	65	9	3
92	61	1	62	10	1
93	62	9	71	5	3
94	63	8	71	5	6
95	63	2	65	8	2
96	64	7	71	10	8
97	65	8	73	5	8
98	65	8	73	7	7
99	65	9	74	10	7
100	71	9	80	6	2
101	71	7	78	6	7
102	71	2	73	8	3
103	72	9	81	9	3
104	73	8	81	6	7
105	73	4	77	7	2
106	74	8	82	7	5
107	78	3	81	5	1
108	80	4	84	10	3
109	81	1	82	6	7
110	81	5	86	10	8
111	81	3	84	9	1
112	82	8	90	9	7
113	82	2	84	8	6
114	84	7	91	9	5
115	86	5	91	5	6
116	90	5	95	9	7
117	91	6	97	9	8
118	95	5	100	10	8
119	100	6	106	9	6
120	106	8	114	6	6
