作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	8	8	5	8
2	0	2	2	10	5
3	0	9	9	5	5
4	2	6	8	8	3
5	8	1	9	8	1
6	8	6	14	10	4
7	9	10	19	9	4
8	9	2	11	7	5
9	11	9	20	9	6
10	11	3	14	8	1
11	14	7	21	6	3
12	14	3	17	7	7
13	19	5	24	5	3
14	20	4	24	8	2
15	20	1	21	6	1
16	21	1	22	6	2
17	24	4	28	9	8
18	24	3	27	6	4
19	27	6	33	6	4
20	27	9	36	7	1
21	28	1	29	7	5
22	29	10	39	10	2
23	36	3	39	9	8
24	39	6	45	5	7
25	39	7	46	7	1
26	39	8	47	7	4
27	46	2	48	6	1
28	47	3	50	9	8
29	48	6	54	8	1
30	48	3	51	8	6
31	50	1	51	5	5
32	51	8	59	5	5
33	51	3	54	10	7
34	54	9	63	8	7
35	54	7	61	6	8
36	59	8	67	7	3
37	61	4	65	6	5
38	63	7	70	8	7
39	67	3	70	6	3
40	67	5	72	5	2
41	70	3	73	6	6
42	72	9	81	9	2
43	73	1	74	9	6
44	73	4	77	10	6
45	74	9	83	5	4
46	81	8	89	10	1
47	81	1	82	10	6
48	83	7	90	10	8
49	83	10	93	8	4
50	89	9	98	6	8
51	90	7	97	7	2
52	93	7	100	9	4
53	98	6	104	9	1
54	100	4	104	6	6
55	104	4	108	7	1
56	104	2	106	8	2
57	104	10	114	10	3
58	106	10	116	7	4
59	106	7	113	9	7
60	108	1	109	10	1
61	109	10	119	10	8
62	109	10	119	9	7
63	113	1	114	5	3
64	114	1	115	6	5
65	115	5	120	8	6
66	115	6	121	6	7
67	119	6	125	5	2
68	121	10	131	9	1
69	121	5	126	10	2
70	125	5	130	8	5
71	126	6	132	7	2
72	130	9	139	6	1
73	132	9	141	9	6
74	139	7	146	5	5
75	139	6	145	6	5
76	141	9	150	5	7
77	145	8	153	8	2
78	146	3	149	5	4
79	149	1	150	7	8
80	150	1	151	7	4
81	151	9	160	9	6
82	151	3	154	5	6
83	153	3	156	9	7
84	154	4	158	6	6
85	156	9	165	8	3
86	158	5	163	7	5
87	160	5	165	6	3
88	163	2	165	8	6
89	165	9	174	8	6
90	165	7	172	10	4
91	172	1	173	6	6
92	174	5	179	6	1
93	174	7	181	8	4
94	179	5	184	6	7
95	181	8	189	6	3
96	181	3	184	9	1
97	184	3	187	10	2
98	184	6	190	9	6
99	189	7	196	5	6
100	190	9	199	6	1
101	190	1	191	7	4
102	191	8	199	10	8
103	196	8	204	5	5
104	199	3	202	8	3
105	202	8	210	8	3
106	202	2	204	10	6
107	204	4	208	10	8
108	204	3	207	6	1
109	208	5	213	7	1
110	210	9	219	5	4
111	213	10	223	8	4
112	213	6	219	8	3
113	219	4	223	8	4
114	219	8	227	9	1
115	223	5	228	8	8
116	227	8	235	9	8
117	228	8	236	7	8
118	235	5	240	10	7
119	236	9	245	9	4
120	245	1	246	10	2
