作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	4	4	10	1
2	0	3	3	8	3
3	3	5	8	5	6
4	3	10	13	10	4
5	4	8	12	9	7
6	4	6	10	10	8
7	8	6	14	9	3
8	10	5	15	9	5
9	12	1	13	10	2
10	13	2	15	7	3
11	13	3	16	8	7
12	14	1	15	7	6
13	14	1	15	7	7
14	15	7	22	8	4
15	15	3	18	10	2
16	16	5	21	5	6
17	16	1	17	7	5
18	17	5	22	6	8
19	17	6	23	10	2
20	18	4	22	9	6
21	21	9	30	8	1
22	22	9	31	8	1
23	22	7	29	10	5
24	22	1	23	9	6
25	23	6	29	9	8
26	23	4	27	6	1
27	27	2	29	7	7
28	29	1	30	6	1
29	29	5	34	8	8
30	30	9	39	10	3
31	30	1	31	5	4
32	30	8	38	7	5
33	31	2	33	8	2
34	34	3	37	8	2
35	34	4	38	5	7
36	37	6	43	8	7
37	38	4	42	7	7
38	38	4	42	9	5
39	39	1	40	6	4
40	39	1	40	9	7
41	40	6	46	5	7
42	40	2	42	9	1
43	42	8	50	9	1
44	42	2	44	6	5
45	42	7	49	7	1
46	42	4	46	6	1
47	43	4	47	6	5
48	44	7	51	8	2
49	46	2	48	8	8
50	48	1	49	7	6
51	48	1	49	10	5
52	49	5	54	8	7
53	49	4	53	7	4
54	49	7	56	8	6
55	51	4	55	5	6
56	51	4	55	9	2
57	53	5	58	6	1
58	54	3	57	6	2
59	54	10	64	8	3
60	55	8	63	9	5
61	57	8	65	5	8
62	58	9	67	9	1
63	63	3	66	8	5
64	63	2	65	8	7
65	64	9	73	6	5
66	65	8	73	10	3
67	65	10	75	5	8
68	67	2	69	10	4
69	69	4	73	6	8
70	69	8	77	8	3
71	73	1	74	7	5
72	73	9	82	8	6
73	73	2	75	6	2
74	73	3	76	10	1
75	75	8	83	6	3
76	75	10	85	8	3
77	76	4	80	5	8
78	77	10	87	9	1
79	80	4	84	9	5
80	83	1	84	6	7
81	83	7	90	10	6
82	84	7	91	7	5
83	85	1	86	9	4
84	85	10	95	5	2
85	87	2	89	6	7
86	90	6	96	10	6
87	90	9	99	9	4
88	91	10	101	5	4
89	91	1	92	7	1
90	92	6	98	9	4
91	92	1	93	8	5
92	93	4	97	8	8
93	95	5	100	5	6
94	96	8	104	6	2
95	97	9	106	6	7
96	98	9	107	8	6
97	98	3	101	9	7
98	101	10	111	7	6
99	104	1	105	6	1
100	105	1	106	5	7
101	106	6	112	5	6
102	111	5	116	9	4
103	111	1	112	7	7
104	112	8	120	8	6
105	112	10	122	10	2
106	112	6	118	8	6
107	112	1	113	9	8
108	116	6	122	6	3
109	118	8	126	6	4
110	122	3	125	7	8
111	122	2	124	6	8
112	124	2	126	10	4
113	125	10	135	6	3
114	126	9	135	10	8
115	126	5	131	10	3
116	126	2	128	6	3
117	131	6	137	5	1
118	135	10	145	6	1
119	137	6	143	9	2
120	145	7	152	8	2
