作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	6	7
2	0	8	8	7	1
3	3	4	7	10	3
4	3	6	9	8	7
5	3	9	12	10	6
6	4	4	8	9	8
7	8	10	18	8	5
8	9	10	19	9	4
9	9	4	13	9	4
10	9	4	13	8	6
11	12	8	20	9	2
12	13	10	23	9	5
13	13	3	16	10	7
14	13	3	16	9	6
15	16	2	18	5	7
16	16	10	26	10	2
17	18	7	25	10	3
18	18	2	20	10	8
19	18	2	20	8	2
20	19	8	27	7	8
21	19	2	21	9	1
22	20	3	23	10	7
23	21	6	27	5	2
24	23	7	30	10	8
25	23	2	25	7	5
26	26	1	27	9	3
27	27	7	34	8	6
28	27	4	31	7	8
29	28	3	31	5	7
30	30	7	37	5	2
31	30	5	35	9	8
32	30	1	31	9	1
33	31	3	34	9	5
34	31	4	35	5	3
35	31	7	38	8	7
36	34	2	36	9	5
37	34	7	41	10	7
38	35	6	41	5	6
39	36	5	41	6	7
40	38	9	47	8	6
41	38	9	47	10	7
42	41	7	48	6	5
43	41	4	45	5	6
44	42	7	49	8	3
45	45	4	49	10	1
46	47	7	54	9	8
47	47	6	53	5	2
48	47	8	55	6	7
49	48	8	56	7	7
50	49	9	58	5	5
51	53	4	57	6	6
52	54	2	56	6	6
53	56	1	57	9	2
54	57	6	63	6	7
55	57	2	59	8	7
56	58	7	65	8	2
57	58	8	66	6	4
58	59	9	68	6	8
59	63	2	65	9	2
60	65	9	74	5	1
61	65	6	71	5	6
62	66	3	69	7	5
63	66	4	70	10	8
64	68	4	72	8	6
65	69	3	72	8	3
66	70	8	78	6	5
67	70	5	75	9	1
68	72	1	73	8	3
69	74	6	80	7	5
70	74	7	81	9	7
71	75	3	78	7	6
72	78	5	83	9	1
73	80	7	87	7	5
74	80	4	84	8	5
75	81	9	90	10	3
76	84	4	88	5	2
77	87	5	92	9	1
78	87	3	90	7	5
79	88	3	91	6	6
80	88	10	98	8	7
81	88	7	95	8	5
82	91	1	92	6	2
83	91	4	95	7	1
84	92	7	99	7	3
85	92	4	96	10	1
86	92	7	99	7	1
87	95	3	98	7	2
88	96	6	102	9	3
89	98	9	107	10	3
90	99	10	109	6	4
91	99	1	100	6	8
92	99	1	100	9	3
93	99	3	102	6	2
94	100	2	102	9	6
95	100	3	103	8	1
96	102	6	108	5	6
97	102	4	106	10	8
98	103	3	106	6	7
99	103	10	113	7	5
100	106	1	107	9	3
101	108	7	115	5	3
102	109	5	114	9	8
103	113	7	120	9	8
104	114	5	119	9	5
105	115	7	122	6	2
106	115	2	117	8	8
107	117	1	118	7	3
108	119	8	127	8	6
109	120	8	128	10	1
110	122	3	125	5	3
111	125	7	132	6	6
112	128	2	130	9	8
113	130	1	131	10	6
114	132	1	133	6	4
115	132	8	140	10	8
116	133	6	139	10	4
117	139	5	144	8	8
118	140	8	148	6	8
119	144	2	146	6	7
120	148	1	149	7	3
