作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	1	1	6	1
2	0	10	10	7	5
3	0	10	10	6	1
4	1	3	4	8	3
5	1	4	5	7	1
6	1	4	5	10	4
7	5	6	11	8	3
8	5	10	15	9	2
9	10	9	19	6	6
10	10	7	17	8	1
11	10	2	12	8	2
12	11	3	14	8	5
13	11	4	15	6	8
14	12	10	22	10	3
15	12	3	15	7	2
16	13	1	14	8	7
17	13	3	16	8	1
18	14	6	20	7	4
19	14	3	17	10	1
20	15	7	22	5	5
21	15	5	20	7	8
22	16	2	18	8	7
23	16	10	26	5	5
24	17	2	19	5	8
25	17	7	24	6	5
26	18	9	27	9	3
27	18	5	23	7	3
28	19	5	24	10	2
29	19	3	22	8	7
30	20	10	30	6	3
31	20	1	21	5	2
32	20	3	23	10	2
33	22	8	30	8	1
34	22	3	25	9	4
35	22	9	31	10	4
36	23	10	33	6	2
37	23	7	30	8	8
38	24	2	26	8	6
39	24	4	28	8	7
40	25	2	27	8	6
41	26	4	30	9	8
42	26	5	31	5	8
43	27	9	36	7	3
44	28	5	33	7	3
45	30	8	38	6	2
46	30	8	38	10	2
47	30	6	36	9	7
48	30	10	40	7	3
49	30	2	32	5	4
50	31	4	35	6	8
51	31	7	38	9	6
52	31	5	36	5	7
53	31	8	39	7	4
54	33	2	35	8	5
55	33	3	36	9	2
56	33	2	35	8	6
57	35	5	40	6	5
58	35	2	37	8	2
59	36	8	44	10	8
60	36	8	44	9	2
61	37	8	45	9	4
62	38	9	47	6	6
63	38	7	45	8	1
64	39	9	48	7	7
65	39	3	42	8	2
66	40	3	43	8	1
67	40	10	50	8	5
68	43	5	48	5	1
69	43	3	46	10	4
70	44	10	54	8	1
71	44	6	50	8	7
72	44	4	48	8	8
73	45	7	52	8	2
74	45	10	55	10	2
75	46	9	55	6	3
76	48	5	53	7	2
77	48	1	49	9	1
78	49	3	52	6	2
79	49	4	53	7	3
80	50	4	54	6	3
81	52	5	57	5	7
82	52	10	62	10	4
83	53	10	63	9	6
84	53	2	55	5	6
85	53	7	60	8	4
86	54	7	61	6	5
87	54	7	61	7	6
88	55	1	56	8	8
89	55	6	61	9	3
90	56	6	62	5	3
91	56	6	62	6	3
92	57	6	63	8	2
93	60	2	62	10	4
94	61	1	62	6	5
95	62	10	72	6	7
96	62	10	72	9	5
97	62	10	72	5	2
98	63	4	67	10	7
99	63	6	69	10	2
100	64	10	74	6	8
101	67	10	77	5	2
102	67	4	71	8	7
103	72	3	75	5	7
104	72	2	74	9	1
105	73	1	74	7	3
106	73	4	77	7	1
107	74	5	79	6	8
108	74	5	79	5	7
109	74	5	79	7	6
110	75	1	76	8	3
111	75	7	82	7	5
112	77	9	86	7	7
113	77	6	83	9	6
114	79	8	87	7	2
115	82	10	92	9	7
116	83	5	88	5	5
117	86	3	89	10	2
118	88	1	89	6	1
119	89	10	99	8	6
120	92	9	101	5	1
