作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	6	6	6	2
2	0	9	9	7	6
3	6	6	12	10	1
4	6	5	11	8	8
5	7	1	8	6	8
6	9	4	13	7	6
7	9	1	10	5	1
8	10	4	14	5	1
9	10	3	13	9	1
10	10	9	19	8	1
11	12	7	19	6	1
12	13	7	20	5	3
13	14	4	18	10	3
14	14	1	15	5	3
15	14	5	19	9	1
16	15	3	18	5	4
17	18	4	22	8	3
18	19	8	27	5	7
19	19	4	23	6	8
20	19	5	24	5	1
21	20	8	28	9	8
22	20	1	21	10	7
23	21	2	23	9	3
24	23	6	29	9	2
25	23	6	29	10	8
26	24	7	31	9	3
27	27	10	37	9	3
28	27	1	28	10	3
29	28	6	34	5	1
30	28	4	32	9	5
31	29	5	34	5	3
32	31	6	37	5	2
33	31	5	36	10	8
34	31	2	33	5	7
35	32	5	37	10	2
36	32	9	41	10	7
37	32	3	35	10	4
38	33	1	34	7	3
39	34	7	41	5	3
40	34	7	41	8	6
41	35	2	37	8	8
42	37	9	46	7	7
43	37	5	42	7	6
44	37	3	40	9	2
45	40	4	44	8	7
46	41	3	44	9	2
47	41	9	50	5	5
48	42	9	51	5	3
49	42	1	43	9	7
50	42	10	52	9	7
51	43	3	46	5	8
52	43	10	53	6	6
53	44	4	48	5	7
54	44	9	53	7	3
55	46	1	47	10	5
56	48	4	52	6	7
57	51	8	59	7	1
58	51	10	61	10	1
59	51	4	55	10	3
60	52	3	55	9	3
61	52	2	54	6	7
62	53	10	63	6	1
63	53	4	57	7	6
64	53	7	60	9	4
65	54	6	60	7	1
66	55	2	57	7	3
67	55	5	60	7	7
68	57	1	58	8	6
69	57	2	59	9	7
70	59	10	69	9	5
71	59	7	66	7	4
72	59	5	64	6	8
73	59	8	67	8	8
74	60	10	70	9	2
75	60	9	69	8	1
76	61	8	69	7	5
77	61	1	62	10	5
78	63	8	71	7	3
79	63	5	68	8	2
80	64	5	69	6	3
81	66	7	73	5	8
82	68	8	76	10	8
83	69	8	77	5	8
84	70	3	73	7	5
85	70	1	71	7	3
86	71	5	76	6	2
87	71	5	76	7	3
88	73	9	82	10	7
89	76	3	79	8	3
90	76	6	82	7	5
91	76	4	80	5	5
92	76	8	84	10	3
93	77	2	79	8	8
94	79	5	84	6	8
95	79	9	88	7	3
96	80	4	84	5	5
97	80	6	86	8	4
98	82	5	87	7	4
99	82	7	89	8	4
100	84	10	94	10	6
101	84	9	93	8	1
102	88	8	96	8	2
103	89	3	92	9	3
104	92	8	100	5	6
105	92	9	101	8	6
106	94	10	104	9	3
107	96	3	99	9	6
108	99	3	102	7	5
109	100	10	110	10	4
110	102	8	110	7	2
111	104	1	105	8	4
112	105	6	111	6	2
113	110	2	112	6	6
114	110	2	112	8	8
115	111	7	118	10	4
116	111	8	119	6	2
117	119	8	127	8	7
118	119	4	123	5	8
119	123	5	128	10	6
120	127	5	132	8	2
