作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	7	7	6	4
2	0	1	1	5	6
3	1	7	8	7	2
4	1	7	8	8	8
5	2	4	6	9	5
6	6	5	11	6	5
7	6	2	8	9	5
8	7	1	8	8	7
9	7	5	12	9	7
10	7	10	17	6	1
11	8	9	17	10	6
12	8	3	11	6	5
13	8	10	18	6	6
14	9	1	10	7	1
15	9	3	12	6	7
16	10	3	13	6	8
17	11	8	19	8	3
18	12	9	21	5	7
19	12	4	16	8	3
20	12	2	14	10	2
21	13	5	18	9	6
22	13	3	16	8	4
23	14	10	24	9	6
24	17	8	25	9	5
25	17	1	18	6	4
26	17	9	26	5	6
27	18	6	24	8	6
28	18	10	28	8	4
29	18	3	21	6	4
30	19	10	29	7	6
31	19	2	21	9	5
32	21	5	26	9	8
33	24	7	31	6	3
34	24	9	33	10	3
35	26	7	33	8	6
36	26	5	31	5	4
37	26	10	36	10	1
38	28	8	36	7	2
39	28	10	38	6	7
40	29	3	32	9	4
41	29	6	35	10	6
42	31	9	40	9	7
43	31	8	39	9	5
44	33	6	39	7	8
45	33	4	37	9	5
46	35	6	41	8	2
47	36	1	37	10	2
48	38	1	39	7	1
49	38	9	47	5	5
50	39	3	42	5	4
51	39	5	44	9	3
52	40	5	45	5	5
53	40	6	46	7	7
54	40	7	47	9	5
55	40	5	45	6	3
56	44	3	47	6	4
57	44	9	53	9	1
58	45	3	48	9	1
59	46	7	53	9	7
60	47	1	48	6	7
61	47	10	57	10	8
62	47	3	50	8	8
63	48	1	49	5	8
64	48	10	58	7	6
65	49	10	59	8	3
66	49	3	52	6	5
67	50	2	52	9	3
68	50	4	54	9	5
69	50	3	53	8	2
70	51	2	53	7	8
71	52	3	55	9	8
72	53	3	56	9	5
73	53	2	55	6	3
74	54	8	62	7	7
75	55	2	57	7	3
76	55	3	58	6	2
77	56	4	60	6	3
78	56	9	65	8	7
79	56	9	65	10	2
80	57	4	61	8	4
81	57	5	62	6	1
82	60	3	63	10	8
83	60	6	66	5	6
84	62	10	72	8	4
85	63	10	73	6	2
86	63	7	70	7	5
87	65	6	71	7	3
88	65	5	70	5	1
89	70	5	75	6	1
90	70	4	74	8	7
91	71	10	81	8	5
92	71	4	75	6	3
93	71	1	72	5	1
94	72	10	82	6	4
95	72	3	75	9	8
96	72	7	79	9	4
97	73	2	75	9	1
98	74	1	75	8	6
99	75	5	80	10	7
100	80	1	81	7	6
101	80	10	90	8	8
102	81	6	87	8	2
103	81	4	85	10	6
104	82	1	83	9	8
105	83	7	90	6	4
106	85	5	90	8	7
107	87	8	95	8	7
108	87	7	94	10	6
109	90	7	97	9	6
110	90	10	100	10	1
111	94	8	102	7	2
112	95	7	102	8	4
113	97	2	99	7	8
114	99	10	109	10	3
115	100	10	110	9	4
116	102	8	110	5	4
117	102	8	110	8	8
118	110	9	119	5	5
119	110	10	120	5	1
120	119	4	123	6	3
