作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	5	5	6	2
2	0	9	9	10	7
3	1	10	11	6	2
4	5	8	13	5	8
5	5	5	10	10	4
6	5	5	10	10	4
7	9	8	17	7	7
8	10	8	18	6	3
9	11	2	13	7	5
10	11	7	18	10	5
11	13	6	19	5	8
12	13	2	15	9	2
13	13	5	18	6	3
14	17	8	25	5	4
15	18	10	28	10	1
16	18	10	28	6	5
17	19	9	28	9	5
18	25	1	26	5	6
19	25	1	26	6	4
20	26	7	33	10	2
21	26	3	29	8	6
22	28	5	33	8	5
23	28	4	32	8	5
24	29	10	39	6	5
25	32	8	40	10	2
26	32	5	37	6	4
27	33	9	42	10	1
28	33	8	41	5	4
29	37	1	38	8	6
30	38	1	39	8	8
31	39	5	44	5	6
32	40	1	41	5	8
33	41	2	43	6	3
34	41	5	46	8	8
35	42	5	47	9	5
36	44	5	49	10	8
37	46	4	50	9	6
38	46	7	53	10	4
39	47	10	57	7	2
40	49	4	53	8	6
41	50	6	56	5	5
42	50	8	58	7	6
43	53	9	62	9	6
44	53	10	63	8	7
45	57	8	65	7	5
46	58	7	65	6	5
47	62	6	68	10	7
48	63	4	67	5	8
49	65	7	72	8	6
50	65	7	72	7	3
51	67	10	77	5	3
52	68	10	78	9	4
53	68	2	70	6	3
54	70	6	76	9	2
55	72	6	78	5	6
56	72	3	75	5	3
57	73	10	83	5	7
58	76	9	85	10	4
59	77	8	85	6	4
60	78	4	82	5	5
61	78	1	79	9	7
62	79	1	80	7	2
63	79	8	87	7	4
64	79	4	83	5	7
65	82	10	92	8	1
66	83	3	86	10	6
67	85	10	95	9	4
68	85	10	95	8	7
69	86	3	89	10	1
70	87	1	88	8	5
71	87	2	89	10	4
72	89	9	98	9	7
73	89	6	95	8	7
74	92	5	97	7	1
75	92	10	102	5	6
76	95	7	102	9	2
77	95	6	101	7	7
78	97	4	101	8	2
79	98	7	105	9	5
80	101	8	109	5	7
81	101	2	103	6	8
82	101	8	109	8	1
83	102	3	105	9	3
84	102	10	112	8	6
85	103	3	106	6	1
86	105	9	114	8	2
87	105	9	114	10	6
88	106	8	114	9	2
89	109	5	114	5	6
90	114	10	124	8	5
91	114	9	123	10	8
92	114	8	122	9	8
93	115	6	121	6	6
94	115	7	122	6	1
95	122	10	132	9	4
96	122	1	123	5	3
97	122	7	129	5	6
98	124	6	130	6	8
99	129	5	134	10	6
100	129	1	130	10	2
101	130	1	131	6	7
102	130	9	139	10	1
103	134	7	141	5	5
104	139	9	148	7	7
105	139	2	141	5	3
106	141	9	150	5	1
107	141	7	148	10	4
108	141	10	151	10	3
109	142	8	150	6	5
110	148	2	150	9	2
111	150	4	154	5	5
112	150	6	156	10	7
113	151	6	157	5	2
114	151	6	157	5	2
115	157	10	167	7	7
116	157	8	165	6	4
117	165	1	166	9	4
118	167	4	171	6	1
119	171	9	180	10	7
120	180	3	183	10	7
