作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	7	7	5	1
2	0	1	1	9	1
3	1	6	7	10	3
4	7	1	8	8	7
5	7	10	17	5	2
6	8	3	11	9	8
7	8	2	10	5	1
8	10	7	17	6	1
9	11	6	17	6	8
10	17	1	18	9	4
11	17	5	22	7	6
12	17	3	20	7	3
13	18	7	25	7	8
14	20	2	22	10	4
15	22	9	31	9	8
16	25	5	30	5	6
17	25	6	31	7	4
18	31	2	33	10	8
19	31	3	34	10	7
20	33	10	43	9	5
21	33	1	34	6	4
22	34	6	40	6	1
23	34	7	41	6	2
24	40	1	41	9	8
25	41	2	43	5	3
26	41	1	42	5	2
27	43	9	52	9	7
28	43	9	52	9	4
29	43	5	48	8	4
30	48	3	51	8	8
31	52	3	55	7	2
32	52	1	53	5	1
33	52	8	60	5	8
34	53	6	59	7	5
35	55	4	59	5	2
36	59	9	68	5	5
37	60	2	62	6	2
38	62	6	68	5	1
39	62	6	68	8	4
40	68	7	75	5	3
41	68	9	77	5	1
42	75	10	85	6	4
43	77	7	84	10	7
44	85	2	87	10	6
45	85	7	92	9	5
46	87	6	93	7	5
47	92	8	100	6	6
48	93	6	99	6	2
49	99	5	104	6	2
50	99	10	109	10	3
51	100	9	109	9	2
52	104	3	107	9	7
53	107	2	109	6	4
54	109	6	115	10	5
55	109	3	112	9	6
56	112	8	120	10	1
57	115	4	119	7	3
58	119	8	127	10	3
59	120	10	130	10	6
60	127	10	137	5	3
61	130	6	136	5	7
62	136	1	137	9	5
63	137	8	145	9	5
64	137	2	139	7	4
65	139	7	146	10	8
66	145	5	150	9	3
67	146	1	147	8	7
68	147	1	148	8	8
69	148	2	150	6	4
70	148	6	154	6	5
71	150	10	160	9	3
72	150	8	158	5	2
73	154	4	158	9	4
74	158	7	165	5	8
75	158	5	163	10	8
76	160	7	167	6	5
77	163	1	164	5	5
78	164	8	172	6	8
79	167	2	169	7	2
80	167	4	171	5	5
81	169	1	170	5	4
82	171	9	180	8	6
83	172	8	180	10	5
84	180	7	187	7	6
85	180	7	187	9	8
86	180	4	184	5	4
87	187	10	197	8	4
88	187	2	189	8	6
89	189	5	194	9	5
90	194	6	200	10	4
91	197	3	200	7	4
92	200	10	210	8	1
93	200	7	207	9	2
94	207	7	214	6	1
95	207	10	217	8	5
96	210	3	213	7	1
97	213	1	214	7	5
98	214	7	221	7	3
99	217	8	225	8	3
100	217	3	220	6	2
101	221	10	231	10	4
102	221	4	225	6	8
103	225	5	230	9	7
104	230	7	237	5	6
105	231	9	240	10	5
106	237	3	240	6	7
107	240	9	249	6	6
108	240	2	242	5	6
109	242	8	250	10	5
110	249	10	259	5	5
111	250	4	254	6	3
112	254	10	264	6	1
113	259	2	261	7	1
114	261	8	269	5	8
115	264	7	271	5	2
116	269	6	275	5	4
117	271	4	275	6	6
118	275	1	276	7	1
119	276	3	279	5	6
120	279	10	289	6	7
