作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	5	5	7	6
2	0	10	10	9	2
3	1	3	4	8	3
4	4	5	9	6	4
5	4	3	7	8	7
6	4	8	12	10	8
7	5	4	9	5	8
8	5	9	14	8	3
9	7	1	8	9	5
10	8	1	9	8	8
11	9	7	16	6	1
12	9	9	18	8	8
13	10	2	12	6	2
14	10	8	18	10	6
15	12	9	21	7	6
16	12	1	13	6	7
17	12	8	20	10	6
18	13	1	14	9	8
19	13	7	20	10	2
20	14	4	18	6	1
21	16	3	19	10	1
22	18	3	21	6	4
23	18	6	24	9	1
24	18	2	20	10	1
25	20	2	22	6	1
26	20	10	30	8	1
27	20	10	30	6	5
28	20	2	22	6	4
29	21	5	26	5	7
30	21	8	29	10	4
31	21	6	27	6	6
32	22	3	25	10	7
33	24	1	25	8	2
34	25	9	34	5	3
35	27	5	32	6	6
36	30	1	31	7	4
37	30	4	34	7	4
38	30	7	37	5	2
39	32	7	39	9	1
40	32	8	40	6	2
41	34	6	40	6	8
42	34	2	36	6	4
43	34	3	37	5	2
44	36	8	44	8	3
45	37	9	46	7	3
46	37	10	47	9	2
47	39	4	43	6	6
48	40	10	50	9	2
49	40	3	43	5	4
50	40	1	41	9	5
51	44	4	48	10	6
52	44	1	45	9	6
53	44	7	51	8	2
54	44	5	49	8	7
55	46	9	55	7	1
56	48	4	52	8	1
57	49	10	59	8	7
58	49	2	51	6	3
59	50	3	53	7	5
60	51	10	61	9	4
61	51	10	61	8	7
62	51	1	52	10	8
63	52	4	56	10	2
64	53	7	60	6	6
65	55	9	64	9	8
66	56	7	63	5	3
67	59	9	68	7	6
68	61	4	65	6	5
69	61	8	69	5	6
70	61	6	67	9	1
71	64	6	70	8	6
72	67	2	69	9	3
73	68	5	73	8	6
74	69	6	75	8	5
75	69	3	72	7	4
76	69	4	73	10	5
77	69	6	75	9	3
78	70	10	80	10	2
79	70	2	72	9	7
80	70	2	72	9	4
81	72	4	76	10	8
82	72	9	81	5	5
83	73	5	78	5	3
84	73	9	82	9	8
85	74	2	76	8	6
86	74	4	78	6	6
87	75	4	79	10	6
88	75	6	81	10	7
89	76	3	79	10	5
90	78	6	84	6	2
91	79	7	86	8	6
92	79	1	80	6	3
93	81	10	91	5	5
94	82	9	91	8	1
95	82	4	86	8	1
96	84	9	93	9	3
97	86	5	91	10	3
98	86	4	90	5	5
99	87	8	95	8	3
100	87	9	96	6	3
101	88	7	95	5	6
102	90	1	91	10	6
103	91	10	101	6	2
104	91	5	96	8	1
105	95	8	103	6	2
106	95	10	105	6	2
107	96	8	104	8	5
108	96	2	98	9	3
109	97	4	101	9	8
110	101	3	104	7	4
111	103	6	109	9	5
112	104	8	112	6	5
113	104	9	113	10	8
114	105	5	110	9	5
115	109	1	110	8	4
116	112	5	117	6	6
117	112	8	120	6	8
118	113	10	123	5	8
119	120	5	125	9	4
120	125	1	126	5	8
