作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	6	6	5	2
2	0	4	4	10	6
3	0	5	5	5	3
4	4	1	5	9	2
5	4	10	14	8	7
6	5	7	12	9	8
7	6	2	8	7	6
8	6	2	8	8	7
9	6	5	11	7	1
10	8	1	9	9	4
11	8	9	17	10	5
12	9	9	18	5	1
13	9	10	19	9	1
14	10	6	16	10	8
15	12	1	13	7	7
16	14	6	20	8	5
17	18	6	24	9	8
18	18	2	20	7	1
19	18	5	23	9	8
20	19	1	20	6	6
21	20	8	28	7	6
22	20	4	24	6	7
23	23	3	26	8	2
24	24	3	27	10	3
25	24	4	28	7	4
26	24	1	25	7	7
27	26	7	33	10	3
28	26	7	33	10	5
29	27	3	30	5	8
30	28	8	36	10	1
31	28	7	35	6	7
32	28	10	38	10	7
33	33	6	39	6	3
34	35	9	44	6	3
35	36	5	41	6	5
36	36	1	37	10	4
37	37	3	40	10	1
38	37	10	47	10	1
39	37	1	38	6	3
40	38	8	46	7	4
41	40	8	48	6	5
42	40	3	43	7	8
43	41	2	43	7	7
44	41	6	47	8	3
45	43	7	50	5	7
46	43	5	48	10	7
47	47	2	49	10	2
48	47	10	57	7	6
49	48	1	49	10	4
50	49	2	51	8	3
51	49	3	52	10	5
52	50	4	54	5	8
53	51	8	59	7	8
54	51	1	52	10	7
55	51	8	59	7	7
56	52	1	53	6	7
57	54	8	62	7	4
58	57	7	64	9	6
59	59	8	67	6	8
60	59	2	61	7	4
61	62	10	72	9	8
62	64	1	65	6	3
63	65	2	67	8	2
64	65	8	73	7	6
65	65	10	75	9	2
66	65	10	75	6	8
67	67	1	68	9	2
68	67	3	70	7	6
69	68	7	75	7	5
70	68	8	76	7	4
71	70	5	75	9	7
72	72	10	82	10	3
73	73	4	77	8	2
74	75	10	85	7	5
75	75	8	83	7	6
76	75	5	80	7	8
77	76	1	77	5	1
78	77	9	86	8	1
79	80	2	82	6	7
80	80	9	89	6	3
81	83	3	86	7	2
82	83	7	90	6	2
83	83	7	90	8	3
84	85	3	88	5	2
85	88	6	94	10	1
86	89	4	93	6	7
87	89	7	96	7	8
88	90	4	94	8	8
89	90	7	97	10	7
90	91	7	98	9	4
91	93	3	96	9	8
92	94	5	99	7	8
93	94	2	96	9	2
94	94	9	103	10	5
95	95	7	102	8	4
96	96	8	104	7	6
97	98	6	104	6	2
98	98	3	101	5	6
99	99	9	108	8	6
100	103	6	109	9	3
101	103	10	113	5	2
102	104	9	113	8	3
103	108	2	110	7	6
104	110	10	120	8	2
105	113	9	122	7	5
106	113	5	118	5	4
107	113	10	123	5	8
108	118	3	121	8	4
109	122	4	126	9	2
110	123	4	127	7	3
111	123	7	130	8	5
112	126	8	134	8	5
113	127	7	134	8	6
114	130	2	132	8	2
115	132	4	136	10	1
116	134	10	144	7	2
117	134	10	144	5	4
118	144	9	153	6	5
119	144	8	152	7	1
120	153	3	156	8	2
