作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	4	4	5	4
2	0	6	6	6	1
3	0	9	9	5	7
4	6	6	12	10	7
5	6	8	14	8	1
6	9	4	13	8	7
7	9	4	13	8	1
8	12	1	13	8	2
9	13	9	22	9	3
10	13	5	18	5	1
11	14	2	16	10	6
12	14	8	22	9	5
13	15	6	21	10	3
14	16	8	24	9	6
15	22	2	24	8	2
16	22	4	26	8	1
17	22	5	27	9	3
18	22	10	32	9	7
19	24	5	29	8	8
20	26	9	35	7	4
21	26	1	27	6	2
22	27	8	35	6	7
23	29	6	35	9	5
24	29	4	33	10	8
25	32	6	38	7	2
26	35	3	38	6	3
27	35	10	45	10	5
28	36	1	37	7	5
29	37	3	40	9	6
30	38	10	48	5	7
31	38	8	46	5	2
32	38	8	46	5	4
33	40	6	46	7	5
34	45	5	50	10	2
35	46	3	49	6	6
36	46	10	56	8	7
37	48	10	58	10	6
38	48	8	56	9	5
39	49	7	56	7	8
40	50	4	54	10	4
41	50	6	56	7	7
42	56	9	65	6	4
43	58	3	61	10	3
44	58	9	67	5	3
45	61	8	69	10	3
46	61	6	67	5	8
47	65	9	74	9	5
48	67	10	77	7	1
49	67	1	68	5	8
50	69	4	73	7	2
51	73	10	83	8	5
52	74	10	84	8	6
53	74	2	76	9	4
54	76	6	82	7	3
55	77	5	82	9	7
56	77	5	82	6	7
57	82	1	83	10	6
58	82	5	87	7	3
59	82	2	84	10	7
60	83	9	92	8	2
61	83	1	84	7	6
62	84	4	88	6	1
63	84	10	94	9	5
64	87	4	91	10	4
65	87	2	89	7	6
66	87	5	92	8	4
67	88	2	90	8	6
68	90	7	97	10	7
69	90	1	91	6	5
70	91	9	100	9	4
71	92	1	93	10	6
72	93	1	94	8	2
73	94	5	99	5	2
74	97	4	101	5	2
75	97	8	105	5	1
76	99	9	108	5	3
77	99	9	108	7	2
78	100	6	106	9	8
79	100	4	104	6	5
80	101	8	109	5	1
81	106	7	113	7	8
82	106	5	111	10	8
83	108	10	118	6	6
84	108	5	113	6	2
85	109	9	118	9	5
86	109	4	113	5	4
87	113	9	122	5	1
88	113	9	122	6	7
89	118	8	126	5	2
90	118	5	123	10	4
91	122	10	132	7	7
92	122	2	124	7	3
93	122	10	132	8	2
94	124	5	129	5	3
95	124	2	126	5	8
96	126	4	130	8	5
97	130	7	137	7	6
98	132	1	133	10	8
99	132	8	140	9	5
100	132	7	139	10	3
101	133	6	139	10	8
102	137	9	146	7	5
103	139	5	144	10	6
104	139	9	148	6	3
105	140	3	143	9	8
106	144	6	150	10	1
107	146	8	154	8	5
108	150	8	158	8	6
109	150	7	157	8	6
110	157	3	160	7	8
111	158	10	168	9	8
112	160	10	170	5	7
113	168	10	178	5	5
114	168	6	174	10	4
115	170	6	176	5	3
116	176	4	180	5	4
117	178	5	183	6	5
118	180	3	183	8	5
119	183	1	184	7	7
120	183	2	185	7	8
