作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	9	1
2	0	2	2	7	4
3	0	6	6	7	2
4	2	6	8	9	2
5	2	6	8	7	2
6	2	5	7	6	8
7	3	3	6	8	6
8	3	5	8	6	4
9	4	1	5	6	2
10	6	5	11	5	2
11	6	7	13	10	7
12	6	9	15	9	3
13	7	4	11	7	4
14	7	2	9	8	5
15	8	10	18	8	1
16	8	4	12	7	1
17	9	10	19	8	1
18	11	8	19	10	3
19	11	2	13	8	5
20	12	3	15	5	4
21	13	8	21	8	2
22	13	5	18	6	7
23	15	10	25	10	2
24	15	9	24	5	5
25	18	6	24	10	5
26	18	7	25	9	6
27	18	10	28	8	4
28	19	8	27	5	1
29	19	10	29	7	1
30	21	5	26	10	7
31	24	8	32	8	2
32	25	9	34	8	3
33	26	9	35	9	2
34	26	8	34	7	5
35	27	1	28	9	8
36	28	3	31	9	6
37	29	4	33	5	5
38	29	9	38	8	6
39	31	8	39	8	8
40	32	7	39	6	2
41	33	8	41	7	8
42	34	7	41	9	8
43	34	3	37	7	6
44	34	1	35	7	2
45	35	6	41	10	7
46	37	4	41	10	5
47	38	10	48	8	2
48	39	3	42	9	3
49	39	7	46	8	8
50	41	6	47	10	7
51	41	9	50	10	5
52	41	4	45	9	8
53	42	3	45	9	8
54	42	10	52	8	1
55	45	6	51	9	4
56	45	2	47	8	4
57	46	1	47	9	7
58	47	7	54	7	6
59	47	5	52	8	6
60	48	2	50	10	1
61	48	2	50	9	2
62	50	8	58	9	8
63	50	8	58	10	3
64	50	5	55	5	8
65	51	6	57	9	3
66	52	3	55	6	5
67	52	2	54	10	4
68	52	6	58	7	7
69	54	4	58	6	6
70	54	2	56	6	4
71	56	6	62	6	4
72	58	5	63	7	4
73	58	4	62	6	4
74	58	10	68	10	7
75	59	2	61	9	2
76	59	1	60	10	7
77	59	7	66	5	7
78	60	9	69	5	6
79	62	8	70	10	7
80	62	1	63	5	4
81	63	9	72	9	6
82	63	2	65	6	4
83	63	5	68	6	8
84	65	7	72	7	2
85	68	1	69	7	5
86	68	10	78	7	7
87	69	2	71	7	3
88	69	4	73	10	2
89	69	8	77	9	2
90	69	3	72	9	5
91	70	5	75	7	3
92	71	7	78	5	5
93	72	5	77	7	3
94	72	4	76	7	2
95	72	4	76	6	6
96	73	8	81	5	4
97	76	4	80	9	7
98	77	4	81	9	5
99	77	10	87	6	8
100	78	5	83	6	3
101	80	1	81	10	6
102	81	10	91	7	2
103	81	1	82	9	1
104	81	3	84	7	7
105	82	8	90	10	8
106	82	10	92	9	6
107	84	7	91	5	5
108	87	2	89	5	4
109	89	6	95	8	6
110	90	6	96	5	8
111	92	7	99	8	3
112	95	4	99	10	6
113	96	7	103	8	8
114	99	6	105	5	6
115	99	7	106	9	4
116	103	5	108	5	8
117	105	3	108	10	4
118	108	4	112	8	7
119	108	2	110	10	8
120	110	4	114	9	4
