作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	10	10	6	1
2	0	9	9	10	5
3	1	2	3	6	1
4	3	10	13	7	3
5	3	3	6	10	3
6	9	3	12	6	7
7	9	1	10	5	6
8	10	8	18	5	8
9	10	2	12	8	2
10	10	1	11	5	3
11	10	3	13	7	3
12	11	10	21	10	6
13	11	4	15	7	8
14	12	7	19	9	5
15	12	1	13	7	8
16	12	7	19	6	8
17	13	7	20	6	5
18	13	4	17	6	3
19	13	2	15	5	4
20	14	5	19	9	2
21	14	4	18	7	4
22	15	3	18	5	8
23	17	6	23	9	1
24	18	3	21	5	8
25	18	9	27	8	1
26	19	3	22	9	5
27	19	10	29	7	1
28	20	7	27	6	1
29	20	1	21	5	3
30	20	6	26	5	3
31	21	10	31	6	8
32	21	3	24	10	1
33	23	4	27	6	2
34	26	8	34	8	5
35	26	9	35	7	6
36	27	1	28	9	1
37	27	7	34	8	8
38	27	3	30	10	8
39	28	2	30	6	8
40	28	1	29	10	3
41	29	1	30	10	7
42	29	4	33	5	3
43	30	7	37	6	5
44	30	8	38	8	3
45	31	7	38	6	2
46	31	7	38	6	8
47	32	3	35	7	3
48	32	3	35	10	5
49	33	5	38	8	1
50	34	3	37	9	5
51	34	9	43	8	5
52	35	6	41	8	7
53	35	5	40	6	5
54	36	2	38	5	4
55	36	6	42	5	3
56	37	7	44	10	2
57	37	2	39	7	7
58	37	9	46	7	4
59	38	3	41	9	5
60	38	5	43	9	5
61	38	5	43	8	3
62	39	3	42	6	2
63	39	5	44	7	8
64	39	9	48	9	2
65	40	4	44	5	4
66	40	1	41	7	2
67	41	5	46	6	4
68	41	8	49	9	4
69	41	6	47	6	3
70	42	8	50	10	6
71	43	8	51	7	2
72	43	3	46	6	8
73	44	1	45	7	8
74	44	4	48	8	5
75	44	7	51	10	5
76	45	5	50	9	8
77	46	2	48	6	2
78	48	4	52	10	2
79	48	6	54	6	3
80	49	10	59	7	4
81	49	8	57	9	8
82	50	8	58	7	6
83	50	7	57	10	6
84	51	5	56	10	8
85	51	7	58	10	1
86	52	5	57	5	5
87	54	4	58	8	1
88	57	8	65	5	3
89	57	10	67	5	3
90	57	6	63	10	4
91	58	1	59	7	2
92	58	4	62	6	4
93	59	7	66	8	4
94	59	3	62	10	1
95	62	5	67	7	5
96	62	10	72	5	1
97	62	10	72	10	5
98	65	8	73	10	5
99	65	5	70	10	5
100	66	6	72	10	5
101	72	7	79	5	5
102	72	3	75	8	8
103	72	3	75	7	2
104	75	2	77	6	2
105	75	8	83	5	6
106	77	1	78	5	1
107	77	1	78	7	8
108	78	2	80	5	6
109	79	3	82	8	8
110	79	3	82	5	5
111	79	8	87	10	7
112	80	10	90	8	4
113	82	8	90	10	1
114	83	7	90	8	1
115	87	1	88	6	5
116	88	4	92	7	5
117	90	4	94	6	2
118	90	7	97	7	7
119	94	3	97	8	4
120	97	9	106	5	4
