作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	3	3	5	2
2	0	4	4	5	7
3	1	4	5	10	8
4	3	9	12	6	1
5	4	8	12	9	2
6	4	4	8	6	1
7	4	4	8	6	7
8	5	8	13	9	2
9	5	8	13	7	5
10	8	5	13	7	8
11	8	3	11	10	5
12	8	10	18	10	6
13	8	10	18	6	7
14	9	7	16	10	4
15	11	8	19	6	1
16	12	3	15	6	3
17	12	6	18	8	3
18	13	1	14	5	1
19	13	10	23	9	2
20	14	5	19	10	2
21	14	2	16	5	2
22	15	4	19	9	5
23	16	3	19	8	7
24	16	6	22	6	8
25	18	6	24	9	2
26	18	9	27	7	6
27	19	8	27	5	5
28	19	10	29	7	4
29	19	1	20	6	3
30	19	6	25	7	1
31	20	5	25	10	8
32	22	9	31	10	6
33	23	5	28	10	8
34	24	9	33	8	1
35	25	9	34	8	6
36	25	4	29	7	3
37	27	3	30	9	2
38	27	1	28	10	6
39	28	1	29	10	3
40	28	4	32	5	5
41	29	3	32	8	1
42	29	5	34	8	8
43	29	1	30	8	6
44	31	4	35	6	1
45	31	9	40	10	6
46	32	2	34	10	3
47	32	7	39	9	6
48	32	9	41	5	2
49	33	6	39	6	8
50	34	3	37	8	5
51	34	9	43	6	2
52	35	4	39	6	1
53	35	9	44	9	2
54	36	1	37	10	7
55	37	2	39	8	6
56	39	6	45	8	7
57	39	5	44	6	8
58	39	9	48	7	8
59	39	8	47	6	8
60	39	10	49	5	3
61	40	6	46	9	5
62	43	3	46	5	8
63	44	6	50	9	1
64	45	1	46	8	8
65	46	8	54	5	7
66	46	4	50	7	8
67	46	8	54	9	5
68	47	1	48	6	4
69	48	10	58	9	5
70	49	1	50	6	4
71	50	10	60	9	4
72	50	7	57	7	2
73	50	3	53	6	1
74	53	10	63	5	7
75	53	1	54	6	2
76	54	2	56	10	3
77	54	2	56	10	3
78	54	5	59	10	6
79	56	5	61	5	4
80	56	10	66	7	6
81	57	4	61	8	8
82	58	1	59	9	7
83	59	6	65	6	5
84	59	1	60	5	6
85	60	10	70	8	1
86	61	5	66	6	6
87	61	5	66	9	5
88	61	9	70	8	3
89	63	9	72	5	8
90	63	1	64	9	6
91	64	10	74	10	7
92	65	1	66	9	7
93	66	1	67	10	1
94	66	7	73	5	3
95	67	10	77	9	5
96	67	2	69	7	3
97	70	7	77	5	5
98	70	6	76	10	6
99	72	8	80	9	6
100	72	5	77	10	5
101	73	9	82	10	4
102	74	5	79	6	2
103	76	3	79	5	2
104	77	3	80	8	3
105	77	8	85	9	5
106	77	3	80	8	1
107	79	7	86	9	6
108	79	8	87	9	7
109	82	2	84	6	8
110	84	6	90	10	2
111	85	7	92	8	7
112	85	7	92	10	8
113	86	1	87	9	8
114	92	3	95	8	2
115	92	10	102	9	7
116	95	10	105	8	4
117	102	5	107	5	1
118	105	10	115	10	5
119	107	1	108	8	5
120	108	3	111	10	6
