作业ID	开始执行时间	作业时长	结束时间	物料量	装配位置
1	0	4	4	10	4
2	0	10	10	9	5
3	4	3	7	9	5
4	4	4	8	9	4
5	7	9	16	7	7
6	10	6	16	9	6
7	10	8	18	9	7
8	10	3	13	8	4
9	13	1	14	7	4
10	14	9	23	9	3
11	16	6	22	7	1
12	16	6	22	7	8
13	16	1	17	10	5
14	18	3	21	10	5
15	18	2	20	7	7
16	18	4	22	8	3
17	20	8	28	10	5
18	20	9	29	8	3
19	21	7	28	10	7
20	22	8	30	9	3
21	22	2	24	5	3
22	22	2	24	5	7
23	24	2	26	9	5
24	24	1	25	10	4
25	25	10	35	7	6
26	26	1	27	8	3
27	28	8	36	9	6
28	28	9	37	7	8
29	28	6	34	10	7
30	28	8	36	8	3
31	29	10	39	9	3
32	30	7	37	10	6
33	30	9	39	6	4
34	35	8	43	10	3
35	36	4	40	6	3
36	36	10	46	8	5
37	37	7	44	9	4
38	37	2	39	6	1
39	39	5	44	10	6
40	39	7	46	6	4
41	40	10	50	8	5
42	43	2	45	5	6
43	43	5	48	6	3
44	44	4	48	8	1
45	44	3	47	5	6
46	44	2	46	6	1
47	45	9	54	6	4
48	46	3	49	9	7
49	46	6	52	7	5
50	46	6	52	8	3
51	47	1	48	9	5
52	48	6	54	5	1
53	49	8	57	6	1
54	49	2	51	8	3
55	50	10	60	8	3
56	51	3	54	5	3
57	51	7	58	8	2
58	52	9	61	8	2
59	54	7	61	6	3
60	54	10	64	7	8
61	54	9	63	9	6
62	54	3	57	6	5
63	57	7	64	5	5
64	58	8	66	7	3
65	61	3	64	9	4
66	61	9	70	9	3
67	62	2	64	5	8
68	64	9	73	9	1
69	64	7	71	7	1
70	64	10	74	8	2
71	65	6	71	9	4
72	66	8	74	8	6
73	66	8	74	8	8
74	66	9	75	7	1
75	66	1	67	9	4
76	67	8	75	8	1
77	71	10	81	5	6
78	71	9	80	8	8
79	73	6	79	7	5
80	74	2	76	5	5
81	75	7	82	8	2
82	80	2	82	8	2
83	81	8	89	8	6
84	81	10	91	6	6
85	81	10	91	8	5
86	82	7	89	9	2
87	82	6	88	9	3
88	89	5	94	6	3
89	89	3	92	6	4
90	91	4	95	5	1
91	91	5	96	6	4
92	91	6	97	8	2
93	92	3	95	9	6
94	92	7	99	6	4
95	95	10	105	7	6
96	95	1	96	9	7
97	96	9	105	5	8
98	96	4	100	8	5
99	97	5	102	10	4
100	97	2	99	5	8
101	99	4	103	9	6
102	99	2	101	7	2
103	100	8	108	9	5
104	100	9	109	6	7
105	101	3	104	7	2
106	102	9	111	9	8
107	103	1	104	8	8
108	104	9	113	7	2
109	109	10	119	8	3
110	109	10	119	7	8
111	111	1	112	7	6
112	112	5	117	6	7
113	113	4	117	10	8
114	117	7	124	5	8
115	117	8	125	9	6
116	119	5	124	7	6
117	124	9	133	6	1
118	124	8	132	6	4
119	133	6	139	10	4
120	139	9	148	8	3
