作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	4	4	1	3
2	2	4	6	2	6
3	4	3	7	5	3
4	4	10	14	4	5
5	4	8	12	4	7
6	5	6	11	5	8
7	6	3	9	5	6
8	6	6	12	3	10
9	6	9	15	4	10
10	7	9	16	4	5
11	7	3	10	4	2
12	8	8	16	1	6
13	8	9	17	4	10
14	9	3	12	1	2
15	9	4	13	2	6
16	9	6	15	4	7
17	9	5	14	3	9
18	9	5	14	4	1
19	11	10	21	2	2
20	11	6	17	1	2
21	12	6	18	4	8
22	13	7	20	4	5
23	13	8	21	1	6
24	13	7	20	3	10
25	14	3	17	4	2
26	14	3	17	4	6
27	15	8	23	4	3
28	16	5	21	3	6
29	16	1	17	4	4
30	16	2	18	5	6
31	18	7	25	1	1
32	18	8	26	2	7
33	19	3	22	4	3
34	19	7	26	2	1
35	20	1	21	5	10
36	21	10	31	1	7
37	22	8	30	1	6
38	22	4	26	1	9
39	23	2	25	5	6
40	24	2	26	1	7
41	25	1	26	5	1
42	25	8	33	1	4
43	25	10	35	5	5
44	26	6	32	4	5
45	26	2	28	5	2
46	26	4	30	4	9
47	26	3	29	5	7
48	26	4	30	5	7
49	28	1	29	3	7
50	29	3	32	3	3
51	29	6	35	3	5
52	30	9	39	2	4
53	31	8	39	1	3
54	31	5	36	4	9
55	32	7	39	5	6
56	33	7	40	4	10
57	33	6	39	3	9
58	33	5	38	2	3
59	34	4	38	1	2
60	35	9	44	1	7
61	35	9	44	5	4
62	36	5	41	4	3
63	37	1	38	2	10
64	37	7	44	4	6
65	38	5	43	5	8
66	38	1	39	5	6
67	39	7	46	1	4
68	39	3	42	4	2
69	40	2	42	2	10
70	40	8	48	4	8
71	41	3	44	4	10
72	43	9	52	1	4
73	43	3	46	3	10
74	44	9	53	5	4
75	44	1	45	5	1
76	45	7	52	3	4
77	45	3	48	5	1
78	46	3	49	4	8
79	48	3	51	3	1
80	48	2	50	2	10
81	49	3	52	4	4
82	49	7	56	4	1
83	50	3	53	2	4
84	51	4	55	3	3
85	51	4	55	1	4
86	52	10	62	1	2
87	52	6	58	1	10
88	53	3	56	1	8
89	53	4	57	4	1
90	54	2	56	2	4
91	54	9	63	3	3
92	54	5	59	3	7
93	54	5	59	2	8
94	54	10	64	3	3
95	55	6	61	5	9
96	55	8	63	4	8
97	55	6	61	5	7
98	55	5	60	1	1
99	56	3	59	1	9
100	56	2	58	1	3
101	57	8	65	5	9
102	57	10	67	5	2
103	57	2	59	5	1
104	57	10	67	1	5
105	58	3	61	3	2
106	58	9	67	3	10
107	58	10	68	1	1
108	59	8	67	1	4
109	59	10	69	3	4
110	59	9	68	3	7
111	59	1	60	3	6
112	59	4	63	4	3
113	59	5	64	1	10
114	60	7	67	5	5
115	61	3	64	2	8
116	61	2	63	5	7
117	61	10	71	2	8
118	61	3	64	1	7
119	61	4	65	5	9
120	62	7	69	2	2
121	62	1	63	2	1
122	63	3	66	1	3
123	63	4	67	1	2
124	63	9	72	4	8
125	64	7	71	2	4
126	64	3	67	4	2
127	64	1	65	5	2
128	64	10	74	4	3
129	65	1	66	4	9
130	65	6	71	1	7
131	66	7	73	4	3
132	66	2	68	5	1
133	67	2	69	1	3
134	68	5	73	4	5
135	69	7	76	3	2
136	69	6	75	4	9
137	69	6	75	4	1
138	71	4	75	2	6
139	71	7	78	1	6
140	71	7	78	2	2
141	71	2	73	4	6
142	71	10	81	4	7
143	72	3	75	3	9
144	72	10	82	2	3
145	72	9	81	5	1
146	72	7	79	2	9
147	72	4	76	2	5
148	73	8	81	4	3
149	74	3	77	3	6
150	75	7	82	2	3
151	75	2	77	5	2
152	76	8	84	1	10
153	76	3	79	4	9
154	76	8	84	2	5
155	77	3	80	3	5
156	77	10	87	3	1
157	78	7	85	3	1
158	78	7	85	5	8
159	78	2	80	2	6
160	78	3	81	4	8
161	79	3	82	3	1
162	79	6	85	2	1
163	79	1	80	1	4
164	79	5	84	1	3
165	80	8	88	4	2
166	80	8	88	1	10
167	80	9	89	5	8
168	80	8	88	5	4
169	81	6	87	1	4
170	81	8	89	5	10
171	81	10	91	1	4
172	82	8	90	4	4
173	82	1	83	5	7
174	82	10	92	4	6
175	84	6	90	2	2
176	84	7	91	3	4
177	84	3	87	3	3
178	85	3	88	4	2
179	85	8	93	3	8
180	85	10	95	3	7
181	86	7	93	1	3
