作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	12	10
2	2	4	6	6	5
3	2	3	5	10	9
4	3	2	5	4	2
5	4	3	7	11	4
6	4	8	12	13	6
7	4	4	8	2	1
8	5	8	13	12	4
9	5	4	9	10	9
10	5	7	12	4	3
11	6	5	11	7	9
12	6	1	7	3	2
13	6	5	11	9	5
14	6	1	7	3	9
15	7	5	12	6	3
16	7	4	11	12	9
17	7	9	16	12	3
18	7	10	17	2	8
19	8	1	9	7	10
20	8	2	10	13	4
21	10	3	13	2	8
22	10	10	20	14	3
23	12	9	21	4	7
24	12	3	15	11	6
25	13	6	19	13	9
26	13	5	18	9	5
27	14	4	18	15	4
28	14	4	18	13	8
29	14	2	16	6	5
30	16	7	23	9	3
31	16	2	18	5	8
32	16	4	20	4	6
33	17	5	22	1	6
34	18	5	23	3	7
35	19	6	25	9	3
36	19	4	23	7	4
37	19	2	21	3	6
38	19	5	24	10	9
39	20	6	26	6	8
40	20	3	23	13	1
41	20	1	21	7	1
42	23	8	31	7	9
43	23	2	25	5	6
44	23	3	26	13	4
45	23	7	30	5	4
46	24	1	25	12	9
47	24	2	26	6	2
48	24	9	33	10	1
49	25	7	32	3	6
50	25	7	32	3	4
51	25	3	28	11	1
52	25	2	27	12	9
53	26	8	34	11	4
54	27	6	33	1	2
55	28	10	38	14	1
56	29	4	33	5	4
57	29	3	32	8	8
58	29	6	35	9	3
59	31	6	37	15	4
60	32	5	37	12	8
61	32	7	39	2	6
62	32	7	39	6	10
63	33	3	36	14	5
64	33	2	35	6	10
65	34	6	40	3	3
66	35	6	41	10	7
67	36	5	41	12	7
68	37	9	46	7	9
69	37	5	42	14	2
70	37	3	40	3	4
71	38	7	45	10	6
72	38	9	47	1	10
73	38	4	42	12	2
74	38	9	47	12	10
75	39	2	41	3	1
76	39	5	44	8	6
77	39	10	49	5	4
78	39	8	47	8	2
79	39	2	41	6	9
80	40	3	43	11	1
81	41	2	43	12	7
82	42	6	48	11	10
83	42	8	50	13	9
84	42	3	45	12	9
85	43	3	46	1	9
86	43	5	48	2	3
87	43	7	50	3	7
88	43	9	52	7	8
89	44	8	52	11	9
90	44	6	50	5	10
91	44	1	45	3	5
92	45	7	52	13	2
93	45	2	47	12	10
94	46	4	50	8	10
95	47	3	50	9	2
96	47	10	57	4	9
97	49	3	52	12	8
98	51	1	52	2	7
99	52	1	53	7	6
100	53	10	63	9	4
101	53	3	56	8	7
102	53	10	63	3	2
103	53	6	59	1	8
104	54	9	63	2	6
105	54	7	61	1	7
106	55	6	61	7	4
107	55	6	61	11	6
108	55	8	63	4	10
109	56	7	63	7	8
110	56	1	57	14	4
111	58	1	59	5	9
112	58	8	66	7	8
113	58	7	65	12	1
114	60	9	69	10	4
115	61	8	69	3	1
116	61	6	67	3	8
117	61	2	63	5	3
118	61	4	65	5	4
119	63	6	69	9	6
120	63	6	69	6	3
121	64	8	72	14	4
122	64	4	68	7	1
123	65	2	67	3	4
124	66	2	68	7	2
125	66	1	67	12	4
126	66	3	69	10	7
127	66	2	68	9	10
128	67	6	73	2	2
129	68	2	70	1	2
130	70	4	74	11	10
131	71	2	73	9	10
132	71	9	80	15	7
133	71	1	72	12	6
134	71	3	74	1	3
135	71	2	73	3	10
136	71	9	80	12	10
137	72	7	79	1	4
138	73	10	83	8	1
139	73	2	75	2	1
140	73	7	80	3	1
141	74	3	77	3	10
142	74	8	82	3	8
143	75	9	84	11	9
144	75	2	77	2	10
145	76	7	83	9	8
146	76	3	79	13	1
147	76	5	81	12	10
148	76	9	85	7	2
149	77	2	79	9	1
150	77	2	79	15	10
151	78	8	86	9	8
152	78	9	87	6	10
153	78	6	84	9	5
154	78	10	88	4	7
155	78	10	88	8	10
156	79	7	86	10	7
157	79	1	80	1	4
158	79	9	88	14	3
159	80	9	89	14	6
160	80	5	85	9	8
161	80	6	86	10	6
162	80	8	88	5	6
163	81	1	82	2	3
164	82	3	85	2	9
165	82	8	90	14	4
166	82	2	84	11	8
167	83	6	89	3	7
168	84	2	86	14	3
169	85	8	93	2	2
170	85	8	93	2	4
171	85	1	86	5	10
172	86	6	92	4	3
173	87	10	97	14	7
174	87	1	88	3	5
175	88	5	93	7	8
176	88	8	96	1	4
177	89	10	99	9	6
178	92	5	97	13	9
179	92	2	94	11	1
180	92	1	93	5	8
181	94	2	96	3	3
182	95	4	99	10	4
183	95	7	102	8	5
184	96	6	102	10	2
185	97	1	98	10	9
186	97	9	106	8	5
187	97	3	100	14	8
188	98	1	99	4	3
189	100	6	106	15	1
190	100	9	109	3	1
191	101	7	108	2	6
192	101	8	109	7	6
193	101	1	102	5	5
194	102	3	105	4	9
195	103	6	109	5	2
196	103	10	113	8	7
197	103	10	113	1	2
198	103	2	105	14	8
199	103	5	108	14	4
200	104	8	112	12	1
201	104	7	111	10	2
202	105	4	109	10	5
203	105	2	107	9	7
204	105	9	114	3	8
205	105	8	113	14	7
206	106	4	110	4	5
207	106	7	113	12	6
208	107	8	115	15	8
209	107	4	111	6	9
210	107	10	117	13	10
211	108	2	110	1	6
212	108	10	118	15	8
213	108	9	117	14	4
214	109	9	118	10	5
215	109	1	110	1	6
216	109	10	119	10	8
217	110	7	117	10	8
218	110	1	111	12	5
219	111	6	117	8	3
220	111	9	120	6	8
221	112	3	115	4	9
222	112	10	122	14	7
223	113	10	123	15	8
224	113	2	115	1	3
225	113	10	123	8	7
226	113	5	118	4	10
227	114	6	120	9	9
228	114	10	124	11	1
229	115	4	119	6	3
230	115	4	119	7	2
231	115	9	124	14	10
232	116	10	126	13	4
233	116	8	124	8	1
234	118	1	119	13	1
235	118	6	124	2	7
236	119	5	124	1	7
237	119	1	120	4	5
238	120	10	130	4	4
239	120	8	128	5	10
240	121	9	130	6	4
