作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	7	7	6	3
2	0	8	8	6	4
3	1	10	11	9	8
4	1	2	3	8	6
5	1	2	3	10	5
6	2	1	3	9	10
7	2	9	11	5	8
8	3	8	11	7	9
9	3	6	9	5	10
10	4	5	9	3	3
11	4	3	7	3	5
12	4	1	5	4	6
13	4	3	7	6	7
14	5	1	6	6	3
15	6	6	12	2	3
16	6	7	13	2	2
17	7	8	15	6	8
18	7	3	10	9	4
19	8	2	10	10	8
20	8	6	14	6	8
21	8	6	14	7	1
22	9	9	18	7	9
23	9	5	14	5	1
24	9	8	17	2	1
25	10	6	16	9	5
26	10	9	19	6	6
27	11	6	17	5	2
28	11	10	21	1	1
29	12	3	15	1	6
30	12	7	19	3	3
31	12	2	14	5	9
32	12	2	14	1	7
33	12	6	18	8	6
34	14	7	21	1	1
35	15	10	25	10	5
36	15	1	16	4	6
37	17	8	25	2	10
38	17	7	24	6	2
39	18	9	27	3	7
40	19	8	27	9	6
41	19	7	26	1	7
42	20	1	21	4	8
43	20	4	24	4	4
44	21	9	30	1	5
45	21	4	25	8	9
46	21	10	31	7	4
47	22	7	29	6	2
48	22	3	25	9	8
49	22	6	28	10	1
50	23	4	27	4	10
51	23	6	29	7	1
52	23	1	24	10	6
53	25	4	29	3	2
54	26	6	32	8	9
55	26	7	33	9	4
56	27	6	33	4	10
57	27	2	29	9	5
58	28	8	36	10	5
59	28	2	30	5	3
60	28	3	31	2	2
61	28	2	30	8	3
62	29	6	35	6	3
63	29	7	36	5	9
64	30	1	31	2	2
65	30	2	32	4	7
66	30	5	35	6	4
67	31	2	33	6	7
68	31	10	41	8	1
69	32	4	36	3	7
70	32	6	38	3	1
71	32	6	38	7	9
72	33	10	43	5	6
73	33	1	34	3	6
74	33	6	39	6	2
75	35	1	36	6	6
76	36	6	42	10	8
77	36	10	46	8	6
78	37	9	46	4	3
79	37	3	40	10	3
80	38	5	43	2	6
81	38	6	44	9	9
82	39	1	40	3	1
83	39	9	48	1	3
84	40	5	45	7	6
85	40	4	44	5	5
86	41	6	47	5	9
87	42	4	46	2	2
88	42	5	47	1	5
89	43	1	44	3	8
90	43	3	46	9	7
91	44	3	47	1	4
92	44	4	48	10	2
93	45	7	52	3	8
94	45	8	53	1	2
95	46	7	53	3	6
96	46	8	54	2	9
97	47	7	54	6	5
98	48	4	52	6	1
99	48	3	51	10	8
100	49	1	50	5	4
101	49	6	55	3	2
102	50	3	53	10	1
103	52	9	61	4	6
104	52	8	60	7	8
105	53	10	63	5	7
106	54	9	63	4	1
107	56	8	64	4	3
108	56	3	59	10	1
109	56	9	65	8	5
110	56	1	57	4	4
111	56	5	61	2	2
112	57	9	66	10	1
113	57	2	59	9	3
114	57	8	65	8	8
115	58	6	64	1	2
116	58	1	59	3	6
117	58	7	65	4	9
118	58	7	65	7	3
119	58	9	67	6	7
120	59	5	64	2	2
121	59	2	61	7	4
122	60	7	67	4	1
123	61	2	63	9	8
124	61	9	70	10	10
125	61	10	71	1	8
126	64	1	65	5	10
127	64	1	65	10	7
128	64	6	70	10	3
129	64	6	70	9	8
130	64	2	66	10	5
131	64	4	68	8	10
132	65	4	69	1	3
133	65	3	68	2	2
134	65	4	69	5	8
135	65	8	73	3	1
136	66	10	76	9	4
137	66	10	76	7	2
138	66	3	69	5	5
139	67	2	69	10	6
140	67	4	71	7	4
141	68	3	71	3	6
142	68	8	76	4	6
143	68	10	78	1	2
144	69	6	75	5	6
145	69	7	76	2	3
146	70	2	72	4	9
147	70	5	75	6	7
148	70	10	80	6	4
149	70	5	75	8	9
150	71	1	72	6	10
151	71	1	72	6	1
152	72	1	73	8	10
153	72	7	79	5	10
154	72	10	82	5	6
155	72	4	76	3	3
156	72	5	77	5	10
157	72	1	73	4	2
158	73	9	82	5	10
159	73	1	74	8	9
160	73	5	78	2	3
161	73	5	78	9	10
162	74	8	82	3	3
163	74	9	83	4	1
164	74	4	78	5	2
165	75	1	76	1	8
166	75	7	82	1	3
167	75	2	77	7	5
168	75	8	83	1	2
169	77	7	84	5	8
170	78	2	80	9	5
171	78	10	88	1	8
172	79	9	88	7	5
173	79	8	87	6	7
174	80	2	82	4	10
175	81	8	89	1	9
176	81	5	86	3	7
177	81	8	89	7	10
178	81	6	87	6	7
179	81	1	82	2	1
180	82	1	83	10	2
181	83	4	87	3	3
182	83	6	89	9	6
183	83	10	93	3	2
184	84	7	91	9	6
185	84	4	88	7	2
186	85	6	91	6	2
187	85	2	87	7	6
188	86	3	89	4	8
189	86	4	90	8	10
190	86	2	88	3	8
191	87	6	93	10	4
192	87	5	92	4	10
193	87	9	96	4	9
194	88	4	92	8	10
195	89	3	92	6	4
196	90	10	100	9	4
197	90	9	99	3	8
198	91	10	101	5	4
199	92	3	95	9	2
200	93	7	100	7	10
201	93	10	103	2	10
202	93	7	100	10	7
203	94	4	98	4	4
204	95	9	104	8	1
205	95	1	96	2	10
206	95	8	103	8	5
207	96	10	106	10	5
208	96	2	98	9	10
209	96	1	97	4	2
210	96	1	97	1	7
211	97	7	104	5	5
212	97	10	107	8	1
213	98	8	106	1	1
214	98	6	104	9	1
215	98	6	104	9	5
216	99	6	105	2	7
217	99	9	108	6	1
218	99	4	103	1	7
219	99	1	100	4	8
220	101	2	103	1	9
221	101	3	104	10	1
222	101	5	106	6	3
223	102	6	108	9	2
224	102	1	103	7	10
225	102	7	109	8	2
226	102	2	104	1	6
227	103	4	107	10	6
228	103	6	109	9	4
229	103	10	113	1	7
230	103	5	108	10	7
231	103	6	109	2	1
232	104	6	110	7	3
233	104	3	107	1	2
234	104	6	110	6	5
235	104	1	105	7	1
236	105	1	106	3	6
237	105	5	110	5	8
238	106	9	115	10	6
239	106	3	109	1	7
240	106	6	112	7	4
