作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	8	8	7	1
2	1	7	8	10	7
3	1	1	2	9	10
4	2	5	7	5	6
5	2	9	11	3	10
6	3	3	6	2	9
7	4	2	6	10	4
8	4	5	9	6	10
9	4	10	14	10	8
10	5	10	15	10	2
11	5	7	12	6	6
12	5	8	13	7	2
13	5	8	13	3	6
14	6	4	10	2	2
15	7	2	9	6	4
16	7	4	11	7	2
17	7	8	15	7	6
18	8	4	12	1	8
19	8	6	14	4	9
20	8	1	9	2	5
21	9	10	19	2	7
22	9	5	14	6	3
23	10	10	20	6	4
24	10	10	20	2	3
25	10	8	18	9	7
26	10	2	12	1	10
27	11	1	12	4	8
28	12	10	22	7	2
29	13	4	17	1	1
30	13	2	15	3	7
31	14	4	18	6	4
32	14	6	20	2	1
33	14	6	20	7	9
34	14	3	17	4	1
35	15	5	20	6	8
36	15	3	18	8	4
37	16	3	19	5	5
38	17	6	23	8	6
39	17	6	23	3	1
40	17	10	27	1	3
41	19	1	20	9	4
42	21	7	28	7	4
43	21	3	24	8	4
44	23	2	25	4	6
45	24	5	29	4	4
46	25	6	31	1	1
47	25	1	26	8	9
48	25	2	27	8	1
49	26	6	32	3	3
50	26	2	28	7	2
51	26	4	30	8	5
52	27	10	37	10	8
53	27	10	37	1	7
54	28	6	34	10	4
55	28	5	33	10	10
56	28	1	29	4	3
57	28	8	36	6	2
58	28	9	37	10	8
59	28	4	32	4	1
60	28	5	33	4	2
61	29	7	36	8	1
62	30	6	36	4	6
63	30	4	34	2	5
64	30	3	33	3	5
65	31	7	38	10	1
66	31	3	34	4	9
67	32	3	35	4	1
68	33	6	39	4	8
69	33	3	36	8	7
70	33	7	40	3	4
71	34	6	40	6	10
72	34	5	39	4	1
73	34	5	39	3	5
74	35	1	36	4	2
75	35	10	45	4	6
76	35	4	39	9	10
77	35	2	37	8	4
78	36	7	43	2	6
79	36	7	43	10	5
80	36	2	38	3	9
81	36	3	39	6	2
82	37	8	45	5	8
83	38	5	43	10	5
84	39	4	43	1	6
85	39	9	48	9	10
86	40	2	42	5	9
87	40	8	48	9	4
88	40	9	49	3	4
89	40	8	48	5	4
90	40	3	43	8	10
91	40	6	46	1	1
92	41	7	48	5	8
93	43	8	51	2	2
94	44	8	52	3	9
95	44	9	53	9	4
96	46	10	56	2	2
97	46	5	51	1	2
98	46	9	55	9	9
99	47	8	55	5	3
100	47	7	54	5	4
101	47	4	51	3	7
102	48	4	52	4	3
103	49	4	53	3	10
104	50	3	53	2	6
105	51	8	59	5	2
106	51	9	60	2	2
107	52	5	57	8	2
108	52	3	55	4	9
109	52	4	56	2	6
110	52	4	56	7	7
111	53	9	62	7	9
112	53	1	54	2	10
113	54	8	62	3	6
114	55	10	65	8	3
115	55	9	64	3	10
116	55	8	63	8	1
117	56	10	66	8	2
118	56	5	61	6	6
119	58	5	63	8	5
120	58	5	63	5	10
121	59	4	63	7	1
122	59	6	65	1	4
123	59	5	64	2	3
124	60	10	70	8	9
125	60	5	65	6	8
126	61	2	63	2	2
127	61	8	69	3	2
128	62	4	66	7	5
129	62	2	64	1	6
130	63	9	72	9	5
131	63	3	66	7	2
132	64	2	66	7	4
133	64	10	74	10	6
134	64	9	73	6	1
135	64	5	69	9	8
136	65	4	69	5	8
137	66	8	74	1	8
138	66	6	72	10	4
139	66	2	68	1	6
140	68	7	75	4	7
141	68	5	73	9	7
142	68	5	73	8	5
143	68	5	73	1	7
144	69	9	78	5	2
145	69	3	72	3	4
146	69	7	76	10	10
147	70	8	78	9	8
148	70	5	75	2	9
149	71	2	73	7	5
150	71	3	74	3	2
