作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	5	1
2	0	9	9	3	1
3	1	4	5	3	6
4	1	3	4	2	10
5	1	1	2	4	5
6	2	6	8	3	5
7	2	5	7	2	3
8	2	5	7	3	7
9	2	4	6	2	7
10	2	7	9	2	8
11	2	8	10	5	6
12	3	3	6	1	3
13	4	7	11	1	7
14	4	6	10	4	1
15	5	8	13	5	2
16	5	9	14	2	8
17	6	9	15	3	8
18	6	5	11	5	1
19	7	4	11	5	3
20	8	1	9	2	7
21	8	4	12	2	3
22	8	3	11	3	6
23	8	8	16	2	7
24	8	4	12	3	2
25	9	7	16	5	6
26	9	3	12	2	8
27	9	10	19	1	4
28	10	5	15	4	4
29	10	9	19	5	1
30	10	5	15	4	5
31	10	7	17	4	6
32	11	8	19	4	10
33	11	3	14	1	5
34	12	9	21	3	6
35	12	6	18	4	4
36	12	2	14	2	1
37	12	1	13	5	2
38	13	7	20	4	2
39	13	1	14	2	1
40	15	4	19	3	4
41	15	5	20	1	7
42	16	2	18	2	9
43	17	7	24	1	5
44	19	1	20	2	5
45	19	1	20	5	4
46	19	6	25	5	6
47	20	10	30	4	5
48	20	4	24	4	7
49	21	6	27	5	9
50	21	10	31	2	10
51	21	7	28	3	6
52	22	1	23	2	8
53	22	7	29	3	6
54	23	9	32	1	2
55	24	6	30	4	6
56	24	10	34	5	4
57	24	4	28	4	4
58	24	8	32	4	5
59	25	4	29	1	9
60	27	3	30	3	1
61	27	7	34	2	9
62	28	10	38	3	5
63	28	6	34	2	4
64	29	8	37	3	7
65	29	10	39	1	6
66	29	1	30	3	2
67	30	1	31	4	5
68	31	4	35	2	7
69	31	6	37	4	10
70	32	4	36	5	7
71	33	1	34	5	4
72	33	8	41	2	6
73	34	7	41	2	2
74	36	8	44	4	9
75	36	8	44	5	4
76	36	6	42	5	3
77	36	1	37	5	5
78	37	4	41	2	4
79	37	7	44	1	7
80	37	10	47	5	7
81	38	10	48	1	2
82	38	9	47	4	7
83	38	1	39	1	8
84	38	6	44	3	10
85	38	5	43	4	10
86	39	5	44	2	7
87	40	9	49	3	9
88	40	8	48	1	4
89	41	5	46	3	3
90	41	5	46	5	3
91	41	7	48	1	6
92	42	7	49	2	5
93	42	2	44	1	10
94	43	9	52	1	1
95	43	9	52	5	9
96	44	5	49	4	2
97	44	8	52	2	1
98	46	4	50	2	3
99	47	2	49	5	5
100	48	2	50	4	3
101	48	7	55	2	10
102	48	9	57	4	9
103	51	5	56	3	6
104	52	9	61	2	9
105	52	10	62	3	4
106	52	4	56	1	10
107	52	10	62	2	10
108	54	8	62	4	6
109	54	1	55	1	3
110	54	2	56	2	10
111	55	4	59	2	1
112	55	9	64	2	2
113	56	9	65	4	5
114	56	10	66	4	7
115	57	5	62	1	8
116	57	1	58	5	9
117	58	10	68	5	1
118	58	3	61	2	1
119	59	8	67	2	7
120	59	3	62	4	5
121	59	10	69	3	8
122	61	5	66	1	4
123	61	2	63	3	4
124	61	2	63	4	9
125	61	7	68	2	10
126	61	10	71	1	9
127	62	5	67	4	10
128	63	3	66	5	4
129	64	8	72	5	7
130	64	9	73	1	6
131	64	3	67	3	7
132	65	6	71	3	9
133	65	6	71	3	2
134	65	4	69	1	6
135	66	10	76	5	9
136	66	5	71	3	4
137	67	10	77	2	9
138	68	2	70	1	7
139	68	1	69	1	3
140	68	6	74	5	2
141	68	2	70	3	7
142	69	10	79	3	5
143	69	8	77	2	9
144	70	1	71	2	2
145	70	10	80	5	7
146	70	7	77	4	9
147	71	2	73	3	3
148	71	7	78	4	10
149	72	8	80	2	7
150	72	7	79	1	8
