作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	13	2
2	0	1	1	1	10
3	1	5	6	7	10
4	2	4	6	15	10
5	2	2	4	10	6
6	3	7	10	12	2
7	3	9	12	2	7
8	4	10	14	3	1
9	4	4	8	10	9
10	4	5	9	3	10
11	5	3	8	15	4
12	5	10	15	7	10
13	6	8	14	9	5
14	7	10	17	13	3
15	7	1	8	2	4
16	7	7	14	13	5
17	8	10	18	5	4
18	8	9	17	8	10
19	8	7	15	5	6
20	9	10	19	3	10
21	9	2	11	7	5
22	10	2	12	6	7
23	10	3	13	7	7
24	10	1	11	9	5
25	12	8	20	9	5
26	12	2	14	11	8
27	12	8	20	7	4
28	13	3	16	15	10
29	13	8	21	6	4
30	14	10	24	14	7
31	14	10	24	14	2
32	17	6	23	4	3
33	18	7	25	4	10
34	18	7	25	9	1
35	19	9	28	1	6
36	19	10	29	5	2
37	21	6	27	5	3
38	21	10	31	4	7
39	23	6	29	3	2
40	23	7	30	7	10
41	24	4	28	11	3
42	24	9	33	13	1
43	24	7	31	13	6
44	27	10	37	3	3
45	28	3	31	10	2
46	29	9	38	7	4
47	30	1	31	9	5
48	30	4	34	5	3
49	31	7	38	5	7
50	31	5	36	1	6
51	33	8	41	1	3
52	33	7	40	3	6
53	34	1	35	11	8
54	34	10	44	7	1
55	35	6	41	13	2
56	35	9	44	2	8
57	36	3	39	8	8
58	36	6	42	12	8
59	36	2	38	14	10
60	36	10	46	7	6
61	37	5	42	1	10
62	37	5	42	4	4
63	38	2	40	4	4
64	39	1	40	14	5
65	39	2	41	5	9
66	39	9	48	9	6
67	40	6	46	9	7
68	40	8	48	4	8
69	42	1	43	2	7
70	43	1	44	8	10
71	43	7	50	3	10
72	43	2	45	4	4
73	43	4	47	11	1
74	43	8	51	10	6
75	43	10	53	8	10
76	44	4	48	15	2
77	45	2	47	13	6
78	45	1	46	12	7
79	46	3	49	7	8
80	47	8	55	4	5
81	47	1	48	8	5
82	47	6	53	5	8
83	48	5	53	14	9
84	49	5	54	13	10
85	49	7	56	1	5
86	49	10	59	11	4
87	50	7	57	2	2
88	50	3	53	11	2
89	51	1	52	3	4
90	51	4	55	12	8
91	51	2	53	3	4
92	51	3	54	7	10
93	52	6	58	3	8
94	52	3	55	2	8
95	52	3	55	14	8
96	53	9	62	5	6
97	53	10	63	4	8
98	53	6	59	14	10
99	54	7	61	4	4
100	54	2	56	15	5
101	54	7	61	13	5
102	55	3	58	12	6
103	55	6	61	5	8
104	55	1	56	12	9
105	57	3	60	3	3
106	58	9	67	15	1
107	58	8	66	4	8
108	59	2	61	14	5
109	59	3	62	4	1
110	59	9	68	14	10
111	59	7	66	15	8
112	60	9	69	13	7
113	61	6	67	13	4
114	62	6	68	5	6
115	63	1	64	4	1
116	63	5	68	9	7
117	64	5	69	10	1
118	64	6	70	11	6
119	65	9	74	6	5
120	66	5	71	2	8
121	66	2	68	5	5
122	67	1	68	13	10
123	67	9	76	3	2
124	68	6	74	15	3
125	68	7	75	1	1
126	68	4	72	9	5
127	68	6	74	12	4
128	70	8	78	12	2
129	70	3	73	12	3
130	70	3	73	8	5
131	71	1	72	8	4
132	71	6	77	10	2
133	72	4	76	12	5
134	72	6	78	2	9
135	73	6	79	1	9
136	76	1	77	2	4
137	76	4	80	6	4
138	76	9	85	6	5
139	76	1	77	2	7
140	77	7	84	4	6
141	77	6	83	8	8
142	79	1	80	10	1
143	80	3	83	11	2
144	80	3	83	5	9
145	80	3	83	9	9
146	81	9	90	9	1
147	81	6	87	6	8
148	82	3	85	13	6
149	82	9	91	8	3
150	83	6	89	9	4
151	84	9	93	3	7
152	84	5	89	12	8
153	85	2	87	5	8
154	85	5	90	4	2
155	86	6	92	7	10
156	86	4	90	2	2
157	86	7	93	4	9
158	87	6	93	7	7
159	88	8	96	2	1
160	88	4	92	6	9
161	88	2	90	3	3
162	89	4	93	3	9
163	89	10	99	5	5
164	90	10	100	2	6
165	90	4	94	6	9
166	91	9	100	15	1
167	92	3	95	8	10
168	93	1	94	11	3
169	93	3	96	1	3
170	94	1	95	1	6
171	94	3	97	13	3
172	95	4	99	6	4
173	96	6	102	6	7
174	97	6	103	10	1
175	97	9	106	11	5
176	98	6	104	11	1
177	99	6	105	14	7
178	100	5	105	1	4
179	102	5	107	9	4
180	102	2	104	12	9
