作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	3	3	3	4
2	1	6	7	7	7
3	1	5	6	8	4
4	1	6	7	1	1
5	2	3	5	2	6
6	3	5	8	1	7
7	4	1	5	8	6
8	4	6	10	7	4
9	6	5	11	1	9
10	7	8	15	4	3
11	7	1	8	9	2
12	7	8	15	5	8
13	7	10	17	10	9
14	8	3	11	2	5
15	8	1	9	2	9
16	8	7	15	8	10
17	10	8	18	5	7
18	10	8	18	10	10
19	11	10	21	8	1
20	11	4	15	7	3
21	12	9	21	8	1
22	12	4	16	6	9
23	13	8	21	5	8
24	14	1	15	7	8
25	14	10	24	5	6
26	15	4	19	9	2
27	15	8	23	7	9
28	16	1	17	4	2
29	17	8	25	1	9
30	18	1	19	7	4
31	18	7	25	4	8
32	18	8	26	3	1
33	18	5	23	2	4
34	18	5	23	3	8
35	18	6	24	1	6
36	18	2	20	5	5
37	19	5	24	10	1
38	19	5	24	2	4
39	19	2	21	9	4
40	20	9	29	7	5
41	20	7	27	7	3
42	20	7	27	8	6
43	20	2	22	4	10
44	20	4	24	1	4
45	21	10	31	5	3
46	21	7	28	2	7
47	21	5	26	7	6
48	22	10	32	8	10
49	23	6	29	10	3
50	23	8	31	10	4
51	24	4	28	8	5
52	24	7	31	7	3
53	24	10	34	4	10
54	25	3	28	5	6
55	25	9	34	10	1
56	26	4	30	3	9
57	26	3	29	10	3
58	27	1	28	10	3
59	28	2	30	2	7
60	28	5	33	1	1
61	28	1	29	4	1
62	28	5	33	5	7
63	29	9	38	8	7
64	30	7	37	8	4
65	31	10	41	2	4
66	32	7	39	2	4
67	32	3	35	7	7
68	32	10	42	4	3
69	33	7	40	10	8
70	33	10	43	10	10
71	33	5	38	2	5
72	34	9	43	1	1
73	34	3	37	3	4
74	34	9	43	9	6
75	36	1	37	10	6
76	36	7	43	4	2
77	36	10	46	9	6
78	37	1	38	3	9
79	39	6	45	5	10
80	39	6	45	4	3
81	40	7	47	2	6
82	40	8	48	10	5
83	40	7	47	7	3
84	40	9	49	1	3
85	40	2	42	8	6
86	41	8	49	2	3
87	41	7	48	2	9
88	42	4	46	7	2
89	42	3	45	8	2
90	43	6	49	6	1
91	43	10	53	5	7
92	43	7	50	3	4
93	43	3	46	3	10
94	43	2	45	2	4
95	44	6	50	6	9
96	44	1	45	1	3
97	45	6	51	5	2
98	46	9	55	3	6
99	47	2	49	6	5
100	47	7	54	4	8
101	47	9	56	3	6
102	48	3	51	8	3
103	48	7	55	1	9
104	48	7	55	8	9
105	49	7	56	4	10
106	51	4	55	1	7
107	51	2	53	7	6
108	52	8	60	6	4
109	54	1	55	3	9
110	54	7	61	5	3
111	54	10	64	3	8
112	55	10	65	1	9
113	55	1	56	4	8
114	56	5	61	5	8
115	56	10	66	9	6
116	57	6	63	8	8
117	58	4	62	1	3
118	58	4	62	3	2
119	58	7	65	3	4
120	58	3	61	2	5
121	59	7	66	2	10
122	60	4	64	10	7
123	60	4	64	1	3
124	63	2	65	7	1
125	64	4	68	1	1
126	64	6	70	2	10
127	64	1	65	3	5
128	64	9	73	4	4
129	65	2	67	4	9
130	65	9	74	3	7
131	65	4	69	8	2
132	65	1	66	4	9
133	66	2	68	6	8
134	66	3	69	9	5
135	67	2	69	3	5
136	67	1	68	7	8
137	68	5	73	3	5
138	68	3	71	2	3
139	68	10	78	3	2
140	69	6	75	9	5
141	69	4	73	6	3
142	69	6	75	5	3
143	69	8	77	8	7
144	70	6	76	5	8
145	70	9	79	4	2
146	71	8	79	7	4
147	71	7	78	2	4
148	71	5	76	9	8
149	72	5	77	4	10
150	72	9	81	6	6
151	73	4	77	5	5
152	73	1	74	1	3
153	74	5	79	9	2
154	75	1	76	4	6
155	75	9	84	7	8
156	77	2	79	5	7
157	78	3	81	4	7
158	79	1	80	4	3
159	80	8	88	4	1
160	81	8	89	9	10
161	82	2	84	8	9
162	82	8	90	10	2
163	82	5	87	4	9
164	82	1	83	7	2
165	83	5	88	2	8
166	83	3	86	7	2
167	85	10	95	7	5
168	87	3	90	5	2
169	87	8	95	9	7
170	87	7	94	6	10
171	87	8	95	10	1
172	88	8	96	9	9
173	88	5	93	5	1
174	89	2	91	9	2
175	89	5	94	10	1
176	89	10	99	9	8
177	89	8	97	6	5
178	89	10	99	8	2
179	90	3	93	10	1
180	90	5	95	5	5
