作业ID	开始执行时间	作业时长	结束时间	物料量	固定装配位置
1	0	5	5	1	9
2	0	7	7	2	2
3	0	7	7	2	6
4	1	1	2	4	4
5	1	4	5	3	3
6	1	2	3	4	10
7	1	9	10	3	7
8	4	10	14	2	2
9	4	6	10	5	6
10	4	2	6	4	7
11	4	5	9	3	10
12	4	10	14	2	7
13	5	9	14	4	8
14	6	4	10	3	10
15	7	10	17	2	4
16	7	7	14	1	6
17	9	9	18	2	4
18	9	4	13	1	5
19	10	4	14	3	5
20	11	7	18	4	1
21	11	7	18	3	9
22	13	7	20	1	7
23	14	5	19	5	10
24	15	2	17	2	9
25	16	4	20	4	2
26	16	1	17	4	8
27	16	7	23	4	1
28	17	9	26	2	7
29	18	9	27	3	2
30	18	7	25	5	2
31	18	5	23	3	5
32	18	5	23	5	8
33	19	2	21	3	4
34	19	1	20	1	5
35	19	1	20	5	2
36	20	7	27	3	1
37	21	9	30	1	8
38	21	5	26	1	3
39	21	7	28	3	7
40	23	1	24	4	1
41	23	2	25	4	6
42	24	7	31	4	9
43	24	5	29	5	10
44	25	10	35	2	6
45	25	4	29	5	9
46	26	2	28	5	4
47	26	9	35	2	3
48	26	6	32	4	3
49	26	10	36	4	2
50	26	4	30	5	5
51	27	3	30	3	5
52	27	10	37	5	10
53	27	6	33	2	5
54	27	3	30	5	7
55	27	6	33	2	8
56	28	6	34	1	2
57	28	9	37	4	9
58	29	5	34	1	7
59	29	8	37	1	9
60	29	10	39	4	2
61	31	8	39	1	4
62	31	6	37	4	7
63	31	1	32	5	3
64	31	2	33	1	9
65	33	2	35	1	1
66	33	5	38	4	3
67	34	3	37	2	3
68	34	4	38	5	6
69	36	5	41	2	7
70	36	4	40	5	7
71	36	7	43	4	6
72	37	3	40	2	3
73	37	4	41	2	2
74	38	7	45	2	3
75	38	10	48	5	2
76	39	3	42	1	2
77	39	7	46	1	2
78	39	10	49	2	6
79	39	3	42	2	10
80	40	3	43	1	6
81	41	3	44	5	1
82	41	6	47	1	1
83	42	8	50	5	5
84	42	3	45	3	1
85	42	6	48	2	8
86	42	10	52	1	1
87	43	5	48	5	1
88	44	10	54	5	3
89	44	10	54	2	6
90	44	2	46	5	2
91	44	1	45	1	4
92	45	6	51	5	8
93	45	5	50	2	10
94	45	3	48	2	3
95	45	9	54	2	2
96	46	2	48	1	9
97	46	9	55	3	2
98	47	2	49	1	1
99	48	6	54	2	7
100	49	7	56	3	6
101	50	6	56	2	10
102	51	10	61	2	2
103	52	9	61	2	2
104	52	10	62	3	2
105	53	5	58	4	10
106	54	6	60	5	8
107	54	5	59	3	10
108	54	3	57	1	7
109	54	4	58	3	6
110	55	3	58	5	7
111	55	2	57	5	5
112	55	2	57	2	9
113	56	10	66	5	8
114	58	6	64	2	8
115	59	9	68	1	5
116	59	5	64	4	9
117	59	8	67	3	7
118	60	10	70	1	10
119	61	6	67	1	1
120	61	8	69	2	7
121	61	10	71	4	1
122	61	4	65	4	7
123	62	10	72	3	6
124	62	2	64	3	3
125	62	2	64	3	6
126	62	5	67	5	4
127	63	5	68	3	9
128	63	8	71	5	7
129	63	7	70	5	8
130	63	5	68	2	2
131	64	2	66	3	3
132	64	7	71	4	8
133	65	6	71	5	2
134	65	6	71	1	5
135	65	5	70	2	4
136	66	7	73	4	5
137	66	7	73	5	10
138	67	2	69	3	1
139	68	7	75	1	10
140	69	9	78	3	5
141	70	9	79	1	10
142	70	3	73	1	1
143	73	4	77	5	10
144	73	10	83	1	7
145	73	5	78	4	1
146	73	8	81	1	3
147	73	4	77	4	7
148	73	9	82	2	7
149	74	4	78	2	7
150	74	4	78	4	7
151	74	4	78	1	6
152	75	4	79	1	10
153	76	7	83	2	5
154	76	6	82	5	4
155	77	5	82	3	2
156	77	7	84	3	6
157	77	2	79	4	5
158	78	9	87	1	4
159	78	10	88	1	9
160	80	2	82	2	5
161	81	4	85	4	2
162	82	1	83	4	4
163	82	6	88	5	6
164	82	4	86	3	3
165	82	2	84	5	6
166	83	7	90	1	2
167	83	7	90	4	6
168	84	4	88	5	6
169	84	9	93	5	5
170	84	2	86	1	9
171	84	9	93	1	4
172	85	1	86	3	5
173	85	1	86	3	1
174	85	9	94	1	3
175	86	9	95	1	4
176	87	3	90	5	2
177	88	6	94	2	6
178	88	10	98	2	2
179	89	8	97	4	2
180	89	5	94	3	7
